dataset_name,repeat_id,fold_id,fold,n_expected_folds,estimator,n_train,n_test,n_original_features,n_transformed_features,accuracy,balanced_accuracy,auroc,mcc,fit_time,predict_time,n_rules,n_conditions,mean_conditions_per_rule,n_literals,mean_literals_per_rule
anes_voting_2026,0,0,1,9,RandomFuzzyRules__max_literal_repetitions__1,43633,4954,318,6458,0.8827210335082761,0.6769213212322623,0.6769213212322622,0.5115849738895257,2.204842646140605,0.16605031583458185,,,,,
anes_voting_2026,0,0,1,9,RandomFuzzyRules__max_literal_repetitions__2,43633,4954,318,6458,0.8827210335082761,0.6769213212322623,0.6769213212322622,0.5115849738895257,2.223802681080997,0.16485031927004457,,,,,
anes_voting_2026,0,0,1,9,RandomFuzzyRules__max_literal_repetitions__3,43633,4954,318,6458,0.8827210335082761,0.6769213212322623,0.6769213212322622,0.5115849738895257,2.2237470489926636,0.16518665477633476,,,,,
anes_voting_2026,1,0,2,9,RandomFuzzyRules__max_literal_repetitions__1,36191,7442,318,6453,0.9054017737167428,0.6938673327003088,0.6938673327003088,0.538294368189035,1.7189555377699435,0.24286960065364838,,,,,
anes_voting_2026,1,0,2,9,RandomFuzzyRules__max_literal_repetitions__2,36191,7442,318,6453,0.9054017737167428,0.6938673327003088,0.6938673327003088,0.538294368189035,1.7226523458957672,0.235444700345397,,,,,
anes_voting_2026,1,0,2,9,RandomFuzzyRules__max_literal_repetitions__3,36191,7442,318,6453,0.9054017737167428,0.6938673327003088,0.6938673327003088,0.538294368189035,1.7159054772928357,0.2414184450171888,,,,,
anes_voting_2026,2,0,3,9,RandomFuzzyRules__max_literal_repetitions__1,32543,3648,318,6453,0.7971491228070176,0.5601778503262012,0.5601778503262012,0.22847409001070298,1.5508018368855119,0.12447617202997208,,,,,
anes_voting_2026,2,0,3,9,RandomFuzzyRules__max_literal_repetitions__2,32543,3648,318,6453,0.7971491228070176,0.5601778503262012,0.5601778503262012,0.22847409001070298,1.549084295053035,0.12414943519979715,,,,,
anes_voting_2026,2,0,3,9,RandomFuzzyRules__max_literal_repetitions__3,32543,3648,318,6453,0.7971491228070176,0.5601778503262012,0.5601778503262012,0.22847409001070298,1.5463672140613198,0.1270009041763842,,,,,
anes_voting_2026,3,0,4,9,RandomFuzzyRules__max_literal_repetitions__1,27055,5488,318,6446,0.8143221574344023,0.5552158138298795,0.5545621451557127,0.24805237647053724,1.2859786008484662,0.17830322217196226,,,,,
anes_voting_2026,3,0,4,9,RandomFuzzyRules__max_literal_repetitions__2,27055,5488,318,6446,0.8143221574344023,0.5552158138298795,0.5545621451557127,0.24805237647053724,1.3078970648348331,0.17593965772539377,,,,,
anes_voting_2026,3,0,4,9,RandomFuzzyRules__max_literal_repetitions__3,27055,5488,318,6446,0.8143221574344023,0.5552158138298795,0.5545621451557127,0.24805237647053724,1.2933026598766446,0.17746148072183132,,,,,
anes_voting_2026,4,0,5,9,RandomFuzzyRules__max_literal_repetitions__1,24953,2102,318,6323,0.7602283539486203,0.5087917569387058,0.5087917569387059,0.058468027428100706,1.1579726934432983,0.07472360599786043,,,,,
anes_voting_2026,4,0,5,9,RandomFuzzyRules__max_literal_repetitions__2,24953,2102,318,6323,0.7626070409134158,0.5,0.5,0.0,1.166509861126542,0.07481284532696009,,,,,
