dataset_name,repeat_id,fold_id,fold,n_expected_folds,estimator,n_train,n_test,n_original_features,n_transformed_features,accuracy,balanced_accuracy,auroc,mcc,fit_time,predict_time,n_rules,n_conditions,mean_conditions_per_rule,n_literals,mean_literals_per_rule
anes_voting_2026,0,0,1,9,RandomFuzzyRules__max_sampling_attempts__20000,43633,4954,318,6458,0.8827210335082761,0.6769213212322623,0.6769213212322622,0.5115849738895257,2.231999366078526,0.16311856592074037,,,,,
anes_voting_2026,0,0,1,9,RandomFuzzyRules__max_sampling_attempts__100000,43633,4954,318,6458,0.8827210335082761,0.6769213212322623,0.6769213212322622,0.5115849738895257,2.2258965228684247,0.16303061693906784,,,,,
anes_voting_2026,0,0,1,9,RandomFuzzyRules__max_sampling_attempts__1000000,43633,4954,318,6458,0.8827210335082761,0.6769213212322623,0.6769213212322622,0.5115849738895257,2.2225710987113416,0.1537145972251892,,,,,
anes_voting_2026,1,0,2,9,RandomFuzzyRules__max_sampling_attempts__20000,36191,7442,318,6453,0.9054017737167428,0.6938673327003088,0.6938673327003088,0.538294368189035,1.7240334739908576,0.24054599925875664,,,,,
anes_voting_2026,1,0,2,9,RandomFuzzyRules__max_sampling_attempts__100000,36191,7442,318,6453,0.9054017737167428,0.6938673327003088,0.6938673327003088,0.538294368189035,1.72135563287884,0.2400911939330399,,,,,
anes_voting_2026,1,0,2,9,RandomFuzzyRules__max_sampling_attempts__1000000,36191,7442,318,6453,0.9054017737167428,0.6938673327003088,0.6938673327003088,0.538294368189035,1.7255991492420435,0.23572961101308465,,,,,
anes_voting_2026,2,0,3,9,RandomFuzzyRules__max_sampling_attempts__20000,32543,3648,318,6453,0.7971491228070176,0.5601778503262012,0.5601778503262012,0.22847409001070298,1.5374660734087229,0.12357443990185857,,,,,
anes_voting_2026,2,0,3,9,RandomFuzzyRules__max_sampling_attempts__100000,32543,3648,318,6453,0.7971491228070176,0.5601778503262012,0.5601778503262012,0.22847409001070298,1.5336520439013839,0.12636092025786638,,,,,
anes_voting_2026,2,0,3,9,RandomFuzzyRules__max_sampling_attempts__1000000,32543,3648,318,6453,0.7971491228070176,0.5601778503262012,0.5601778503262012,0.22847409001070298,1.5344008971005678,0.12526666140183806,,,,,
anes_voting_2026,3,0,4,9,RandomFuzzyRules__max_sampling_attempts__20000,27055,5488,318,6446,0.8143221574344023,0.5552158138298795,0.5545621451557127,0.24805237647053724,1.2968322769738734,0.17389569291844964,,,,,
anes_voting_2026,3,0,4,9,RandomFuzzyRules__max_sampling_attempts__100000,27055,5488,318,6446,0.8143221574344023,0.5552158138298795,0.5545621451557127,0.24805237647053724,1.2974258121103048,0.18471164675429463,,,,,
anes_voting_2026,3,0,4,9,RandomFuzzyRules__max_sampling_attempts__1000000,27055,5488,318,6446,0.8143221574344023,0.5552158138298795,0.5545621451557127,0.24805237647053724,1.2955762217752635,0.1773179261945188,,,,,
anes_voting_2026,4,0,5,9,RandomFuzzyRules__max_sampling_attempts__20000,24953,2102,318,6323,0.7626070409134158,0.5,0.5,0.0,1.1726921568624675,0.07391614094376564,,,,,
anes_voting_2026,4,0,5,9,RandomFuzzyRules__max_sampling_attempts__100000,24953,2102,318,6323,0.7626070409134158,0.5,0.5,0.0,1.1583415898494422,0.07031974894925952,,,,,
anes_voting_2026,4,0,5,9,RandomFuzzyRules__max_sampling_attempts__1000000,24953,2102,318,6323,0.7626070409134158,0.5,0.5,0.0,1.1589565142057836,0.07216129917651415,,,,,
anes_voting_2026,5,0,6,9,RandomFuzzyRules__max_sampling_attempts__20000,23887,1066,318,6241,0.8724202626641651,0.7173310794947645,0.7173310794947645,0.5844792906873123,1.1328253652900457,0.016782260965555906,,,,,
anes_voting_2026,5,0,6,9,RandomFuzzyRules__max_sampling_attempts__100000,23887,1066,318,6241,0.8724202626641651,0.7173310794947645,0.7173310794947645,0.5844792906873123,1.1277493690140545,0.016876569017767906,,,,,
anes_voting_2026,5,0,6,9,RandomFuzzyRules__max_sampling_attempts__1000000,23887,1066,318,6241,0.8724202626641651,0.7173310794947645,0.7173310794947645,0.5844792906873123,1.1260610171593726,0.01678039086982608,,,,,
anes_voting_2026,6,0,7,9,RandomFuzzyRules__max_sampling_attempts__20000,22543,1344,318,6238,0.7157738095238095,0.5,0.5,0.0,1.0712501839734614,0.04283743305131793,,,,,
anes_voting_2026,6,0,7,9,RandomFuzzyRules__max_sampling_attempts__100000,22543,1344,318,6238,0.7157738095238095,0.5,0.5,0.0,1.0607681469991803,0.04781939974054694,,,,,
anes_voting_2026,6,0,7,9,RandomFuzzyRules__max_sampling_attempts__1000000,22543,1344,318,6238,0.7157738095238095,0.5,0.5,0.0,1.065173480194062,0.042856122367084026,,,,,
anes_voting_2026,7,0,8,9,RandomFuzzyRules__max_sampling_attempts__20000,20989,1554,318,6181,0.851994851994852,0.7129659953059331,0.7129659953059331,0.5548000385422196,0.9805252850055695,0.05259350873529911,,,,,
anes_voting_2026,7,0,8,9,RandomFuzzyRules__max_sampling_attempts__100000,20989,1554,318,6181,0.851994851994852,0.7129659953059331,0.7129659953059331,0.5548000385422196,0.9892164124175906,0.055982532911002636,,,,,
anes_voting_2026,7,0,8,9,RandomFuzzyRules__max_sampling_attempts__1000000,20989,1554,318,6181,0.851994851994852,0.7129659953059331,0.7129659953059331,0.5548000385422196,0.9810532797127962,0.05285413609817624,,,,,
anes_voting_2026,8,0,9,9,RandomFuzzyRules__max_sampling_attempts__20000,19455,1534,318,6128,0.8702737940026075,0.8069898654655367,0.8069898654655367,0.6298778484557944,0.9065004172734916,0.051915365271270275,,,,,
anes_voting_2026,8,0,9,9,RandomFuzzyRules__max_sampling_attempts__100000,19455,1534,318,6128,0.8702737940026075,0.8069898654655367,0.8069898654655367,0.6298778484557944,0.912823888938874,0.05314470315352082,,,,,
anes_voting_2026,8,0,9,9,RandomFuzzyRules__max_sampling_attempts__1000000,19455,1534,318,6128,0.8702737940026075,0.8069898654655367,0.8069898654655367,0.6298778484557944,0.9095209650695324,0.054452248848974705,,,,,
aps_failure,0,0,1,9,RandomFuzzyRules__max_sampling_attempts__20000,50666,25334,170,170,0.983105707744533,0.5818841484108999,0.9681757808651099,0.31682013364260186,1.0744392359629273,0.012571095954626799,,,,,
aps_failure,0,0,1,9,RandomFuzzyRules__max_sampling_attempts__100000,50666,25334,170,170,0.983105707744533,0.5818841484108999,0.9681757808651099,0.31682013364260186,1.0845205378718674,0.012068401090800762,,,,,
aps_failure,0,0,1,9,RandomFuzzyRules__max_sampling_attempts__1000000,50666,25334,170,170,0.983105707744533,0.5818841484108999,0.9681757808651099,0.31682013364260186,1.082188013009727,0.012533396016806364,,,,,
aps_failure,0,1,2,9,RandomFuzzyRules__max_sampling_attempts__20000,50667,25333,170,170,0.9823550309872499,0.5880925149766298,0.9656428869237015,0.3029770342038819,1.083683727774769,0.012693365104496479,,,,,
aps_failure,0,1,2,9,RandomFuzzyRules__max_sampling_attempts__100000,50667,25333,170,170,0.9823550309872499,0.5880925149766298,0.9656428869237015,0.3029770342038819,1.086459157988429,0.012915072031319141,,,,,
aps_failure,0,1,2,9,RandomFuzzyRules__max_sampling_attempts__1000000,50667,25333,170,170,0.9823550309872499,0.5880925149766298,0.9656428869237015,0.3029770342038819,1.0808917582035065,0.01274352427572012,,,,,
aps_failure,0,2,3,9,RandomFuzzyRules__max_sampling_attempts__20000,50667,25333,170,170,0.9837366281135278,0.5941540453358496,0.9784588444405433,0.353862814907706,1.096741059795022,0.01215905137360096,,,,,
aps_failure,0,2,3,9,RandomFuzzyRules__max_sampling_attempts__100000,50667,25333,170,170,0.9837366281135278,0.5941540453358496,0.9784588444405433,0.353862814907706,1.0831727050244808,0.01210455084219575,,,,,
aps_failure,0,2,3,9,RandomFuzzyRules__max_sampling_attempts__1000000,50667,25333,170,170,0.9837366281135278,0.5941540453358496,0.9784588444405433,0.353862814907706,1.0979534168727696,0.012343117967247963,,,,,
aps_failure,1,0,4,9,RandomFuzzyRules__max_sampling_attempts__20000,50666,25334,170,170,0.9836583247809269,0.5618502972378231,0.9040679213058758,0.3165741704851843,1.0813674349337816,0.012938001658767462,,,,,
aps_failure,1,0,4,9,RandomFuzzyRules__max_sampling_attempts__100000,50666,25334,170,170,0.9836583247809269,0.5618502972378231,0.9040679213058758,0.3165741704851843,1.0929946010001004,0.012794733047485352,,,,,
aps_failure,1,0,4,9,RandomFuzzyRules__max_sampling_attempts__1000000,50666,25334,170,170,0.9836583247809269,0.5618502972378231,0.9040679213058758,0.3165741704851843,1.0851986152119935,0.013424236793071032,,,,,
aps_failure,1,1,5,9,RandomFuzzyRules__max_sampling_attempts__20000,50667,25333,170,170,0.9833418860774484,0.567162976454324,0.9293625770775275,0.3041901802789806,1.0842659352347255,0.013705623801797628,,,,,
aps_failure,1,1,5,9,RandomFuzzyRules__max_sampling_attempts__100000,50667,25333,170,170,0.9833418860774484,0.567162976454324,0.9293625770775275,0.3041901802789806,1.074376821052283,0.01446250593289733,,,,,
aps_failure,1,1,5,9,RandomFuzzyRules__max_sampling_attempts__1000000,50667,25333,170,170,0.9833418860774484,0.567162976454324,0.9293625770775275,0.3041901802789806,1.0820948290638626,0.013633564114570618,,,,,
aps_failure,1,2,6,9,RandomFuzzyRules__max_sampling_attempts__20000,50667,25333,170,170,0.9832629376702325,0.5746239933290909,0.972549998902811,0.3109969121048621,1.072666220832616,0.012365878093987703,,,,,
aps_failure,1,2,6,9,RandomFuzzyRules__max_sampling_attempts__100000,50667,25333,170,170,0.9832629376702325,0.5746239933290909,0.972549998902811,0.3109969121048621,1.0877640000544488,0.012253140099346638,,,,,
aps_failure,1,2,6,9,RandomFuzzyRules__max_sampling_attempts__1000000,50667,25333,170,170,0.9832629376702325,0.5746239933290909,0.972549998902811,0.3109969121048621,1.0823168577626348,0.012269178871065378,,,,,
aps_failure,2,0,7,9,RandomFuzzyRules__max_sampling_attempts__20000,50666,25334,170,170,0.9836977974263835,0.5640088459727833,0.9153052408009547,0.32074342824175006,1.0862524867989123,0.012708063703030348,,,,,
