dataset_name,repeat_id,fold_id,fold,n_expected_folds,estimator,n_train,n_test,n_original_features,n_transformed_features,accuracy,balanced_accuracy,auroc,mcc,fit_time,predict_time,n_rules,n_conditions,mean_conditions_per_rule,n_literals,mean_literals_per_rule
anes_voting_2026,0,0,1,9,RandomFuzzyRules__sampling__n1_l1,43633,4954,318,6458,0.8827210335082761,0.6769213212322623,0.6769213212322622,0.5115849738895257,3.3213993459939957,0.1645794208161533,,,,,
anes_voting_2026,0,0,1,9,RandomFuzzyRules__sampling__n1_l2,43633,4954,318,6458,0.8827210335082761,0.6769213212322623,0.6769213212322622,0.5115849738895257,2.397676333785057,0.15493297297507524,,,,,
anes_voting_2026,0,0,1,9,RandomFuzzyRules__sampling__n2_l1,43633,4954,318,6458,0.8827210335082761,0.6769213212322623,0.6769213212322622,0.5115849738895257,2.9809908526949584,0.16358695179224014,,,,,
anes_voting_2026,0,0,1,9,RandomFuzzyRules__sampling__n2_l2,43633,4954,318,6458,0.8827210335082761,0.6769213212322623,0.6769213212322622,0.5115849738895257,2.299459141679108,0.15393251413479447,,,,,
anes_voting_2026,1,0,2,9,RandomFuzzyRules__sampling__n1_l1,36191,7442,318,6453,0.9054017737167428,0.6938673327003088,0.6938673327003088,0.538294368189035,2.527905529830605,0.2363020540215075,,,,,
anes_voting_2026,1,0,2,9,RandomFuzzyRules__sampling__n1_l2,36191,7442,318,6453,0.8590432679387261,0.5016379773857809,0.5016379773857809,0.020913375188393257,1.86038534110412,0.24508896097540855,,,,,
anes_voting_2026,1,0,2,9,RandomFuzzyRules__sampling__n2_l1,36191,7442,318,6453,0.9054017737167428,0.6938673327003088,0.6938673327003088,0.538294368189035,2.27484561316669,0.2361789052374661,,,,,
anes_voting_2026,1,0,2,9,RandomFuzzyRules__sampling__n2_l2,36191,7442,318,6453,0.9054017737167428,0.6938673327003088,0.6938673327003088,0.538294368189035,1.7679016781039536,0.23938976181671023,,,,,
anes_voting_2026,2,0,3,9,RandomFuzzyRules__sampling__n1_l1,32543,3648,318,6453,0.7971491228070176,0.5601778503262012,0.5601778503262012,0.22847409001070298,2.1749032787047327,0.1268784198909998,,,,,
anes_voting_2026,2,0,3,9,RandomFuzzyRules__sampling__n1_l2,32543,3648,318,6453,0.7839912280701754,0.5033420284752562,0.5033420284752562,0.03921901339595929,1.6215827828273177,0.1292219958268106,,,,,
anes_voting_2026,2,0,3,9,RandomFuzzyRules__sampling__n2_l1,32543,3648,318,6453,0.7971491228070176,0.5601778503262012,0.5601778503262012,0.22847409001070298,1.958933250978589,0.12493668962270021,,,,,
anes_voting_2026,2,0,3,9,RandomFuzzyRules__sampling__n2_l2,32543,3648,318,6453,0.7971491228070176,0.5601778503262012,0.5601778503262012,0.22847409001070298,1.541249232366681,0.1268098410218954,,,,,
anes_voting_2026,3,0,4,9,RandomFuzzyRules__sampling__n1_l1,27055,5488,318,6446,0.8090379008746356,0.539401695081721,0.550089528673523,0.2033438982312694,1.8002331177704036,0.18353614071384072,,,,,
anes_voting_2026,3,0,4,9,RandomFuzzyRules__sampling__n1_l2,27055,5488,318,6446,0.7962827988338192,0.49998266787606377,0.49998266787606377,-0.00023076305555056096,1.366047102957964,0.18221635511144996,,,,,
anes_voting_2026,3,0,4,9,RandomFuzzyRules__sampling__n2_l1,27055,5488,318,6446,0.8143221574344023,0.5552158138298795,0.5552158138298795,0.24805237647053724,1.6445169523358345,0.17735864687711,,,,,
anes_voting_2026,3,0,4,9,RandomFuzzyRules__sampling__n2_l2,27055,5488,318,6446,0.8143221574344023,0.5552158138298795,0.5545621451557127,0.24805237647053724,1.2958043152466416,0.18116366676986217,,,,,
anes_voting_2026,4,0,5,9,RandomFuzzyRules__sampling__n1_l1,24953,2102,318,6323,0.8582302568981922,0.7255559153240979,0.725555915324098,0.5727596740359951,1.6570783099159598,0.07032460812479258,,,,,
anes_voting_2026,4,0,5,9,RandomFuzzyRules__sampling__n1_l2,24953,2102,318,6323,0.8587059942911512,0.726557919332114,0.7265579193321141,0.574402445607991,1.2675220938399434,0.07459172187373042,,,,,
anes_voting_2026,4,0,5,9,RandomFuzzyRules__sampling__n2_l1,24953,2102,318,6323,0.8092293054234063,0.6892881208455588,0.7505378817522756,0.4266202639263649,1.5124093079939485,0.07376539101824164,,,,,
anes_voting_2026,4,0,5,9,RandomFuzzyRules__sampling__n2_l2,24953,2102,318,6323,0.7626070409134158,0.5,0.5,0.0,1.1649062582291663,0.0749937379732728,,,,,
anes_voting_2026,5,0,6,9,RandomFuzzyRules__sampling__n1_l1,23887,1066,318,6241,0.8714821763602252,0.7151476733812274,0.7164832814220052,0.5809273601336133,1.594342403113842,0.035529433749616146,,,,,
anes_voting_2026,5,0,6,9,RandomFuzzyRules__sampling__n1_l2,23887,1066,318,6241,0.8724202626641651,0.7173310794947645,0.7173310794947645,0.5844792906873123,1.2027645083144307,0.0389753682538867,,,,,
anes_voting_2026,5,0,6,9,RandomFuzzyRules__sampling__n2_l1,23887,1066,318,6241,0.7814258911819888,0.5087127555785114,0.5092918668774423,0.0555455284303579,1.4110626778565347,0.0351414792239666,,,,,
anes_voting_2026,5,0,6,9,RandomFuzzyRules__sampling__n2_l2,23887,1066,318,6241,0.8724202626641651,0.7173310794947645,0.7173310794947645,0.5844792906873123,1.1258351900614798,0.038233705796301365,,,,,
anes_voting_2026,6,0,7,9,RandomFuzzyRules__sampling__n1_l1,22543,1344,318,6238,0.7157738095238095,0.5,0.5,0.0,1.5025010430254042,0.021744821220636368,,,,,
anes_voting_2026,6,0,7,9,RandomFuzzyRules__sampling__n1_l2,22543,1344,318,6238,0.7157738095238095,0.5,0.5,0.0,1.165864238049835,0.021968528162688017,,,,,
anes_voting_2026,6,0,7,9,RandomFuzzyRules__sampling__n2_l1,22543,1344,318,6238,0.7157738095238095,0.5,0.5,0.0,1.3609734680503607,0.02182127023115754,,,,,
anes_voting_2026,6,0,7,9,RandomFuzzyRules__sampling__n2_l2,22543,1344,318,6238,0.7157738095238095,0.5,0.5,0.0,1.0691482489928603,0.021707681007683277,,,,,
anes_voting_2026,7,0,8,9,RandomFuzzyRules__sampling__n1_l1,20989,1554,318,6181,0.7709137709137709,0.5997966814038536,0.5997966814038536,0.2623776166498096,1.3969497880898416,0.051604154985398054,,,,,
anes_voting_2026,7,0,8,9,RandomFuzzyRules__sampling__n1_l2,20989,1554,318,6181,0.8204633204633205,0.635131815948911,0.6864322362316468,0.44054319762296645,1.048656745813787,0.05253709526732564,,,,,
anes_voting_2026,7,0,8,9,RandomFuzzyRules__sampling__n2_l1,20989,1554,318,6181,0.8211068211068211,0.7672684351290868,0.7672684351290868,0.5217049707435913,1.221441542264074,0.05373834213241935,,,,,
anes_voting_2026,7,0,8,9,RandomFuzzyRules__sampling__n2_l2,20989,1554,318,6181,0.851994851994852,0.7129659953059331,0.7129659953059331,0.5548000385422196,0.9725458500906825,0.05327399726957083,,,,,
anes_voting_2026,8,0,9,9,RandomFuzzyRules__sampling__n1_l1,19455,1534,318,6128,0.863102998696219,0.7848989509867836,0.7903395958039471,0.6015056614632632,1.2673164871521294,0.053587325382977724,,,,,
anes_voting_2026,8,0,9,9,RandomFuzzyRules__sampling__n1_l2,19455,1534,318,6128,0.8722294654498044,0.8082664612102175,0.8083992176850591,0.6345642768513108,0.9655458140186965,0.05303615005686879,,,,,
anes_voting_2026,8,0,9,9,RandomFuzzyRules__sampling__n2_l1,19455,1534,318,6128,0.7620599739243807,0.4984140342559118,0.4974539204646477,-0.01864522787581198,1.1257646917365491,0.052600724156945944,,,,,
anes_voting_2026,8,0,9,9,RandomFuzzyRules__sampling__n2_l2,19455,1534,318,6128,0.8702737940026075,0.8069898654655367,0.8069898654655367,0.6298778484557944,0.9064319590106606,0.05278492206707597,,,,,
aps_failure,0,0,1,9,RandomFuzzyRules__sampling__n1_l1,50666,25334,170,170,0.9834214889081866,0.6173293482663864,0.9012968546435882,0.37366796349064313,1.450433534104377,0.01286722393706441,,,,,
aps_failure,0,0,1,9,RandomFuzzyRules__sampling__n1_l2,50666,25334,170,170,0.9835399068445567,0.6152512015414764,0.9013518135339005,0.37439198473699464,1.089905590750277,0.012320519890636206,,,,,
aps_failure,0,0,1,9,RandomFuzzyRules__sampling__n2_l1,50666,25334,170,170,0.982987289808163,0.576477726322243,0.9688890640566669,0.304809068875367,1.3327774959616363,0.012523547746241093,,,,,
aps_failure,0,0,1,9,RandomFuzzyRules__sampling__n2_l2,50666,25334,170,170,0.983105707744533,0.5818841484108999,0.9681757808651099,0.31682013364260186,1.1008185157552361,0.012558657210320234,,,,,
aps_failure,0,1,2,9,RandomFuzzyRules__sampling__n1_l1,50667,25333,170,170,0.9834997828918801,0.6208235061771741,0.9087930482104847,0.3791634286526549,1.444174760952592,0.01262841746211052,,,,,
aps_failure,0,1,2,9,RandomFuzzyRules__sampling__n1_l2,50667,25333,170,170,0.9834208344846642,0.6229265102806609,0.9085595663909063,0.3796684278708704,1.0964790512807667,0.011760935187339783,,,,,
