dataset_name,repeat_id,fold_id,fold,n_expected_folds,estimator,n_train,n_test,n_original_features,n_transformed_features,accuracy,balanced_accuracy,auroc,mcc,fit_time,predict_time,n_rules,n_conditions,mean_conditions_per_rule,n_literals,mean_literals_per_rule
anes_voting_2026,0,0,1,9,RandomFuzzyRules__threshold__0_1,43633,4954,318,6458,0.8827210335082761,0.6769213212322623,0.6769213212322622,0.5115849738895257,4.313335449900478,0.16686051106080413,,,,,
anes_voting_2026,0,0,1,9,RandomFuzzyRules__threshold__0_2,43633,4954,318,6458,0.8827210335082761,0.6769213212322623,0.6769213212322622,0.5115849738895257,3.176405216101557,0.16507420921698213,,,,,
anes_voting_2026,0,0,1,9,RandomFuzzyRules__threshold__0_3,43633,4954,318,6458,0.8827210335082761,0.6769213212322623,0.6769213212322622,0.5115849738895257,3.1896600858308375,0.15868275379762053,,,,,
anes_voting_2026,0,0,1,9,RandomFuzzyRules__threshold__0_4,43633,4954,318,6458,0.8827210335082761,0.6769213212322623,0.6769213212322622,0.5115849738895257,3.1296468530781567,0.16699644969776273,,,,,
anes_voting_2026,0,0,1,9,RandomFuzzyRules__threshold__0_5,43633,4954,318,6458,0.8827210335082761,0.6769213212322623,0.6769213212322622,0.5115849738895257,2.2480204883031547,0.1665198439732194,,,,,
anes_voting_2026,0,0,1,9,RandomFuzzyRules__threshold__0_6,43633,4954,318,6458,0.8827210335082761,0.6769213212322623,0.6769213212322622,0.5115849738895257,3.1564055532217026,0.1661888868547976,,,,,
anes_voting_2026,0,0,1,9,RandomFuzzyRules__threshold__0_7,43633,4954,318,6458,0.8827210335082761,0.6769213212322623,0.6769213212322622,0.5115849738895257,3.1352496752515435,0.16005731001496315,,,,,
anes_voting_2026,0,0,1,9,RandomFuzzyRules__threshold__0_8,43633,4954,318,6458,0.8314493338716189,0.5,0.5,0.0,3.1314343088306487,0.16587169980630279,,,,,
anes_voting_2026,0,0,1,9,RandomFuzzyRules__threshold__0_9,43633,4954,318,6458,0.8314493338716189,0.5,0.5,0.0,3.1358527201227844,0.16934967506676912,,,,,
anes_voting_2026,1,0,2,9,RandomFuzzyRules__threshold__0_1,36191,7442,318,6453,0.9054017737167428,0.6938673327003088,0.6938673327003088,0.538294368189035,2.4094960619695485,0.22809469467028975,,,,,
anes_voting_2026,1,0,2,9,RandomFuzzyRules__threshold__0_2,36191,7442,318,6453,0.9054017737167428,0.6938673327003088,0.6938673327003088,0.538294368189035,2.4020184269174933,0.23301097424700856,,,,,
anes_voting_2026,1,0,2,9,RandomFuzzyRules__threshold__0_3,36191,7442,318,6453,0.9054017737167428,0.6938673327003088,0.6938673327003088,0.538294368189035,2.403828334994614,0.22727899299934506,,,,,
anes_voting_2026,1,0,2,9,RandomFuzzyRules__threshold__0_4,36191,7442,318,6453,0.9054017737167428,0.6938673327003088,0.6938673327003088,0.538294368189035,2.4085184051655233,0.23178359679877758,,,,,
anes_voting_2026,1,0,2,9,RandomFuzzyRules__threshold__0_5,36191,7442,318,6453,0.9054017737167428,0.6938673327003088,0.6938673327003088,0.538294368189035,1.7322928570210934,0.2265783902257681,,,,,
anes_voting_2026,1,0,2,9,RandomFuzzyRules__threshold__0_6,36191,7442,318,6453,0.9054017737167428,0.6938673327003088,0.6938673327003088,0.538294368189035,2.41097451467067,0.22751198010519147,,,,,
anes_voting_2026,1,0,2,9,RandomFuzzyRules__threshold__0_7,36191,7442,318,6453,0.9054017737167428,0.6938673327003088,0.6938673327003088,0.538294368189035,2.3972941832616925,0.2338878051377833,,,,,
anes_voting_2026,1,0,2,9,RandomFuzzyRules__threshold__0_8,36191,7442,318,6453,0.8603869927438861,0.5,0.5,0.0,2.4046676447615027,0.22123903408646584,,,,,
anes_voting_2026,1,0,2,9,RandomFuzzyRules__threshold__0_9,36191,7442,318,6453,0.8603869927438861,0.5,0.5,0.0,2.4038085411302745,0.22874874714761972,,,,,
anes_voting_2026,2,0,3,9,RandomFuzzyRules__threshold__0_1,32543,3648,318,6453,0.7971491228070176,0.5601778503262012,0.5601778503262012,0.22847409001070298,2.1600927407853305,0.12365802796557546,,,,,
anes_voting_2026,2,0,3,9,RandomFuzzyRules__threshold__0_2,32543,3648,318,6453,0.7971491228070176,0.5601778503262012,0.5601778503262012,0.22847409001070298,2.161774712149054,0.11903676576912403,,,,,
anes_voting_2026,2,0,3,9,RandomFuzzyRules__threshold__0_3,32543,3648,318,6453,0.7971491228070176,0.5601778503262012,0.5601778503262012,0.22847409001070298,2.1619635983370245,0.12191961612552404,,,,,
anes_voting_2026,2,0,3,9,RandomFuzzyRules__threshold__0_4,32543,3648,318,6453,0.7971491228070176,0.5601778503262012,0.5601778503262012,0.22847409001070298,2.154737520031631,0.11935825180262327,,,,,
anes_voting_2026,2,0,3,9,RandomFuzzyRules__threshold__0_5,32543,3648,318,6453,0.7971491228070176,0.5601778503262012,0.5601778503262012,0.22847409001070298,1.5546686928719282,0.123868846334517,,,,,
anes_voting_2026,2,0,3,9,RandomFuzzyRules__threshold__0_6,32543,3648,318,6453,0.7971491228070176,0.5601778503262012,0.5601778503262012,0.22847409001070298,2.163490198086947,0.12486194632947445,,,,,
anes_voting_2026,2,0,3,9,RandomFuzzyRules__threshold__0_7,32543,3648,318,6453,0.7971491228070176,0.5601778503262012,0.5601778503262012,0.22847409001070298,2.1621963693760335,0.1233409009873867,,,,,
anes_voting_2026,2,0,3,9,RandomFuzzyRules__threshold__0_8,32543,3648,318,6453,0.7963267543859649,0.5716509033879047,0.5716509033879047,0.2399913996352558,2.1518622329458594,0.1253538099117577,,,,,
anes_voting_2026,2,0,3,9,RandomFuzzyRules__threshold__0_9,32543,3648,318,6453,0.7963267543859649,0.5716509033879047,0.5716509033879047,0.2399913996352558,2.162450934294611,0.12544084899127483,,,,,
anes_voting_2026,3,0,4,9,RandomFuzzyRules__threshold__0_1,27055,5488,318,6446,0.8143221574344023,0.5552158138298795,0.5545621451557127,0.24805237647053724,1.7603771341964602,0.1779509731568396,,,,,
anes_voting_2026,3,0,4,9,RandomFuzzyRules__threshold__0_2,27055,5488,318,6446,0.8143221574344023,0.5552158138298795,0.5545621451557127,0.24805237647053724,1.7601056257262826,0.18215148989111185,,,,,
