dataset_id,dataset_name,estimator,accuracy,fit_time,completed_folds
14,Breast Cancer,RandomFuzzyRules__max_literal_repetitions__1,0.7485221674876847,0.04781777999887704,10
14,Breast Cancer,RandomFuzzyRules__max_literal_repetitions__2,0.7344827586206897,0.04718601000058692,10
14,Breast Cancer,RandomFuzzyRules__max_literal_repetitions__3,0.7310344827586207,0.04586535000125873,10
15,Breast Cancer Wisconsin (Original),RandomFuzzyRules__max_literal_repetitions__1,0.9556107660455486,0.07105140999919965,10
15,Breast Cancer Wisconsin (Original),RandomFuzzyRules__max_literal_repetitions__2,0.9556107660455486,0.07142587000125782,10
15,Breast Cancer Wisconsin (Original),RandomFuzzyRules__max_literal_repetitions__3,0.962815734989648,0.06634753999969686,10
17,Breast Cancer Wisconsin (Diagnostic),RandomFuzzyRules__max_literal_repetitions__1,0.9314536340852131,0.05463821000157618,10
17,Breast Cancer Wisconsin (Diagnostic),RandomFuzzyRules__max_literal_repetitions__2,0.9227130325814537,0.05812311999907245,10
17,Breast Cancer Wisconsin (Diagnostic),RandomFuzzyRules__max_literal_repetitions__3,0.9491228070175438,0.06179164999921336,10
27,Credit Approval,RandomFuzzyRules__max_literal_repetitions__1,0.8478260869565217,0.05638153999607307,10
27,Credit Approval,RandomFuzzyRules__max_literal_repetitions__2,0.846376811594203,0.058236259999102855,10
27,Credit Approval,RandomFuzzyRules__max_literal_repetitions__3,0.844927536231884,0.055867529999522915,10
43,Haberman's Survival,RandomFuzzyRules__max_literal_repetitions__1,0.7516129032258064,0.29171256999979955,10
43,Haberman's Survival,RandomFuzzyRules__max_literal_repetitions__2,0.7546236559139785,0.16518909000005802,10
43,Haberman's Survival,RandomFuzzyRules__max_literal_repetitions__3,0.7744086021505376,0.14179999000043603,10
45,Heart Disease,RandomFuzzyRules__max_literal_repetitions__1,0.8055913978494624,0.04840632999985241,10
45,Heart Disease,RandomFuzzyRules__max_literal_repetitions__2,0.7588172043010752,0.048757049998675875,10
45,Heart Disease,RandomFuzzyRules__max_literal_repetitions__3,0.7625806451612903,0.04897082999668779,10
46,Hepatitis,RandomFuzzyRules__max_literal_repetitions__1,0.8,0.0428503099989029,10
46,Hepatitis,RandomFuzzyRules__max_literal_repetitions__2,0.7741666666666667,0.042304699998930974,10
46,Hepatitis,RandomFuzzyRules__max_literal_repetitions__3,0.7604166666666666,0.043049500000779464,10
52,Ionosphere,RandomFuzzyRules__max_literal_repetitions__1,0.7778571428571428,0.053309880000597276,10
52,Ionosphere,RandomFuzzyRules__max_literal_repetitions__2,0.8547619047619047,0.05170065000129391,10
52,Ionosphere,RandomFuzzyRules__max_literal_repetitions__3,0.8831746031746033,0.05485653000068848,10
74,Musk (Version 1),RandomFuzzyRules__max_literal_repetitions__1,0.632491134751773,0.057342250000510776,10
74,Musk (Version 1),RandomFuzzyRules__max_literal_repetitions__2,0.6663120567375886,0.06098841000348326,10
74,Musk (Version 1),RandomFuzzyRules__max_literal_repetitions__3,0.6788120567375886,0.058105480000085606,10
75,Musk (Version 2),RandomFuzzyRules__max_literal_repetitions__1,0.85540925185083,0.40666673999949127,10
75,Musk (Version 2),RandomFuzzyRules__max_literal_repetitions__2,0.859049524072286,0.4553404700025567,10
75,Musk (Version 2),RandomFuzzyRules__max_literal_repetitions__3,0.8522313422541041,0.4809599199972581,10
94,Spambase,RandomFuzzyRules__max_literal_repetitions__1,0.6361652362538904,0.2187445000003208,10
94,Spambase,RandomFuzzyRules__max_literal_repetitions__2,0.623558898424974,0.22791804999869777,10
94,Spambase,RandomFuzzyRules__max_literal_repetitions__3,0.6239946241629728,0.24528803000430338,10
95,SPECT Heart,RandomFuzzyRules__max_literal_repetitions__1,0.7491452991452991,0.04661873000004557,10
95,SPECT Heart,RandomFuzzyRules__max_literal_repetitions__2,0.7491452991452991,0.04787457000202263,10
95,SPECT Heart,RandomFuzzyRules__max_literal_repetitions__3,0.7491452991452991,0.045500300003914106,10
105,Congressional Voting Records,RandomFuzzyRules__max_literal_repetitions__1,0.9563424947145878,0.05152305999799859,10
105,Congressional Voting Records,RandomFuzzyRules__max_literal_repetitions__2,0.9563424947145878,0.051067629999306474,10
105,Congressional Voting Records,RandomFuzzyRules__max_literal_repetitions__3,0.9563424947145878,0.052021170001535166,10
144,Statlog (German Credit Data),RandomFuzzyRules__max_literal_repetitions__1,0.6990000000000001,0.06622070000012167,10
144,Statlog (German Credit Data),RandomFuzzyRules__max_literal_repetitions__2,0.696,0.07115732999809547,10
144,Statlog (German Credit Data),RandomFuzzyRules__max_literal_repetitions__3,0.726,0.07055998999712751,10
