dataset_id,dataset_name,estimator,accuracy,fit_time,completed_folds
14,Breast Cancer,RandomFuzzyRules__max_rules__2,0.7450738916256158,0.04885410000570113,10
14,Breast Cancer,RandomFuzzyRules__max_rules__3,0.7310344827586207,0.048551170015707565,10
14,Breast Cancer,RandomFuzzyRules__max_rules__4,0.7310344827586207,0.05179561000550159,10
14,Breast Cancer,RandomFuzzyRules__max_rules__5,0.7450738916256158,0.0535832099965773,10
14,Breast Cancer,RandomFuzzyRules__max_rules__6,0.7310344827586207,0.058979990018997286,10
14,Breast Cancer,RandomFuzzyRules__max_rules__7,0.7310344827586207,0.06095945001579817,10
15,Breast Cancer Wisconsin (Original),RandomFuzzyRules__max_rules__2,0.9241614906832298,0.06592518998077135,10
15,Breast Cancer Wisconsin (Original),RandomFuzzyRules__max_rules__3,0.9585093167701864,0.07192074001068245,10
15,Breast Cancer Wisconsin (Original),RandomFuzzyRules__max_rules__4,0.962815734989648,0.07694340997841205,10
15,Breast Cancer Wisconsin (Original),RandomFuzzyRules__max_rules__5,0.9370600414078675,0.08390792999416585,10
15,Breast Cancer Wisconsin (Original),RandomFuzzyRules__max_rules__6,0.962815734989648,0.08602164997719224,10
15,Breast Cancer Wisconsin (Original),RandomFuzzyRules__max_rules__7,0.9384679089026916,0.09075191001174968,10
17,Breast Cancer Wisconsin (Diagnostic),RandomFuzzyRules__max_rules__2,0.9368107769423559,0.05745702000567686,10
17,Breast Cancer Wisconsin (Diagnostic),RandomFuzzyRules__max_rules__3,0.9420426065162907,0.0666840399964712,10
17,Breast Cancer Wisconsin (Diagnostic),RandomFuzzyRules__max_rules__4,0.9437969924812031,0.07360263998853038,10
17,Breast Cancer Wisconsin (Diagnostic),RandomFuzzyRules__max_rules__5,0.9367794486215539,0.07453891001641746,10
17,Breast Cancer Wisconsin (Diagnostic),RandomFuzzyRules__max_rules__6,0.9491228070175438,0.07703030003467569,10
17,Breast Cancer Wisconsin (Diagnostic),RandomFuzzyRules__max_rules__7,0.9139724310776943,0.07703453998547041,10
27,Credit Approval,RandomFuzzyRules__max_rules__2,0.8492753623188406,0.06762603996321555,10
27,Credit Approval,RandomFuzzyRules__max_rules__3,0.846376811594203,0.06909078996395689,10
27,Credit Approval,RandomFuzzyRules__max_rules__4,0.8434782608695652,0.07006229000398885,10
27,Credit Approval,RandomFuzzyRules__max_rules__5,0.846376811594203,0.06787867998937142,10
27,Credit Approval,RandomFuzzyRules__max_rules__6,0.844927536231884,0.07606136000249532,10
27,Credit Approval,RandomFuzzyRules__max_rules__7,0.8521739130434783,0.07414451001677656,10
43,Haberman's Survival,RandomFuzzyRules__max_rules__2,0.7282795698924731,0.19242584999883544,10
43,Haberman's Survival,RandomFuzzyRules__max_rules__3,0.7546236559139785,0.11747048995457587,10
43,Haberman's Survival,RandomFuzzyRules__max_rules__4,0.7548387096774194,0.12101415999932208,10
43,Haberman's Survival,RandomFuzzyRules__max_rules__5,0.7611827956989247,0.12991991001181302,10
43,Haberman's Survival,RandomFuzzyRules__max_rules__6,0.7744086021505376,0.14004192000720644,10
43,Haberman's Survival,RandomFuzzyRules__max_rules__7,0.7578494623655914,0.16699740998446938,10
45,Heart Disease,RandomFuzzyRules__max_rules__2,0.7356989247311828,0.047514949995092995,10
45,Heart Disease,RandomFuzzyRules__max_rules__3,0.7752688172043011,0.0496301800012588,10
45,Heart Disease,RandomFuzzyRules__max_rules__4,0.7554838709677419,0.05394055000506335,10
45,Heart Disease,RandomFuzzyRules__max_rules__5,0.7355913978494624,0.05541097997920582,10
45,Heart Disease,RandomFuzzyRules__max_rules__6,0.7625806451612903,0.06042856002459297,10
45,Heart Disease,RandomFuzzyRules__max_rules__7,0.7255913978494624,0.06513518000720063,10
46,Hepatitis,RandomFuzzyRules__max_rules__2,0.7808333333333334,0.04133230000734324,10
46,Hepatitis,RandomFuzzyRules__max_rules__3,0.7941666666666667,0.04349853000603612,10
46,Hepatitis,RandomFuzzyRules__max_rules__4,0.7616666666666666,0.04892751001752907,10
46,Hepatitis,RandomFuzzyRules__max_rules__5,0.7929166666666667,0.05296690000686792,10
46,Hepatitis,RandomFuzzyRules__max_rules__6,0.7604166666666666,0.052467179996892765,10
46,Hepatitis,RandomFuzzyRules__max_rules__7,0.7941666666666667,0.0551984300022013,10
52,Ionosphere,RandomFuzzyRules__max_rules__2,0.8319047619047619,0.053933249996043695,10
52,Ionosphere,RandomFuzzyRules__max_rules__3,0.8261904761904763,0.057039139990229096,10
52,Ionosphere,RandomFuzzyRules__max_rules__4,0.7947619047619048,0.06914863000856705,10
52,Ionosphere,RandomFuzzyRules__max_rules__5,0.8147619047619047,0.07268676001112905,10
52,Ionosphere,RandomFuzzyRules__max_rules__6,0.8831746031746033,0.06932801001239565,10
52,Ionosphere,RandomFuzzyRules__max_rules__7,0.8831746031746033,0.07501877998001868,10
