dataset_id,dataset_name,fold,estimator,n_train,n_test,n_original_features,accuracy,f1,auroc,fit_time,predict_time
14,Breast Cancer,1,RandomFuzzyRules__max_rules__2,257,29,9,0.7586206896551724,0.36363636363636365,0.6607142857142857,0.06871169991791248,0.00037080002948641777
14,Breast Cancer,1,RandomFuzzyRules__max_rules__3,257,29,9,0.7586206896551724,0.36363636363636365,0.6011904761904762,0.04824150004424155,0.000310199917294085
14,Breast Cancer,1,RandomFuzzyRules__max_rules__4,257,29,9,0.7586206896551724,0.36363636363636365,0.6607142857142857,0.05300700000952929,0.0003125000512227416
14,Breast Cancer,1,RandomFuzzyRules__max_rules__5,257,29,9,0.7586206896551724,0.36363636363636365,0.6607142857142857,0.05553630006033927,0.0002991999499499798
14,Breast Cancer,1,RandomFuzzyRules__max_rules__6,257,29,9,0.7586206896551724,0.36363636363636365,0.6607142857142857,0.05822409992106259,0.0003282000543549657
14,Breast Cancer,1,RandomFuzzyRules__max_rules__7,257,29,9,0.7586206896551724,0.36363636363636365,0.6607142857142857,0.057409599889069796,0.0003646000986918807
14,Breast Cancer,2,RandomFuzzyRules__max_rules__2,257,29,9,0.6896551724137931,0.0,0.48055555555555557,0.045561700011603534,0.0003079000161960721
14,Breast Cancer,2,RandomFuzzyRules__max_rules__3,257,29,9,0.6896551724137931,0.0,0.5055555555555555,0.04768690001219511,0.0003548999084159732
14,Breast Cancer,2,RandomFuzzyRules__max_rules__4,257,29,9,0.6896551724137931,0.0,0.5055555555555555,0.052175199962221086,0.0003431000513955951
14,Breast Cancer,2,RandomFuzzyRules__max_rules__5,257,29,9,0.6896551724137931,0.0,0.48055555555555557,0.05394880007952452,0.00031079992186278105
14,Breast Cancer,2,RandomFuzzyRules__max_rules__6,257,29,9,0.6896551724137931,0.0,0.5055555555555555,0.06732600007671863,0.00034149992279708385
14,Breast Cancer,2,RandomFuzzyRules__max_rules__7,257,29,9,0.6896551724137931,0.0,0.5055555555555555,0.06153529998846352,0.00032210000790655613
14,Breast Cancer,3,RandomFuzzyRules__max_rules__2,257,29,9,0.7931034482758621,0.5714285714285714,0.7333333333333333,0.043730500037781894,0.00022139993961900473
14,Breast Cancer,3,RandomFuzzyRules__max_rules__3,257,29,9,0.7931034482758621,0.5714285714285714,0.7083333333333334,0.048198800068348646,0.00033900002017617226
14,Breast Cancer,3,RandomFuzzyRules__max_rules__4,257,29,9,0.7931034482758621,0.5714285714285714,0.7083333333333334,0.05086219997610897,0.00033029995393007994
14,Breast Cancer,3,RandomFuzzyRules__max_rules__5,257,29,9,0.7931034482758621,0.5714285714285714,0.7333333333333333,0.053178500034846365,0.0003399999113753438
14,Breast Cancer,3,RandomFuzzyRules__max_rules__6,257,29,9,0.7931034482758621,0.5714285714285714,0.7083333333333334,0.058912600041367114,0.00032469991128891706
14,Breast Cancer,3,RandomFuzzyRules__max_rules__7,257,29,9,0.7931034482758621,0.5714285714285714,0.7083333333333334,0.05919800000265241,0.0003342999843880534
14,Breast Cancer,4,RandomFuzzyRules__max_rules__2,257,29,9,0.7241379310344828,0.42857142857142855,0.7666666666666667,0.042251699953339994,0.00031349994242191315
14,Breast Cancer,4,RandomFuzzyRules__max_rules__3,257,29,9,0.7241379310344828,0.3333333333333333,0.5861111111111111,0.048172099981456995,0.0002937000244855881
14,Breast Cancer,4,RandomFuzzyRules__max_rules__4,257,29,9,0.7241379310344828,0.3333333333333333,0.5861111111111111,0.061487199971452355,0.00032549991738051176
14,Breast Cancer,4,RandomFuzzyRules__max_rules__5,257,29,9,0.7241379310344828,0.42857142857142855,0.7666666666666667,0.05361599999014288,0.00032270001247525215
14,Breast Cancer,4,RandomFuzzyRules__max_rules__6,257,29,9,0.7241379310344828,0.3333333333333333,0.5861111111111111,0.06753850006498396,0.00032679992727935314
14,Breast Cancer,4,RandomFuzzyRules__max_rules__7,257,29,9,0.7241379310344828,0.3333333333333333,0.5861111111111111,0.06198490003589541,0.00026130001060664654
