dataset_id,dataset_name,estimator,accuracy,fit_time,completed_folds
14,Breast Cancer,RandomFuzzyRules__max_sampling_attempts__100000,0.7310344827586207,0.07233105000341306,10
14,Breast Cancer,RandomFuzzyRules__max_sampling_attempts__1000000,0.7310344827586207,0.0693236300023272,10
14,Breast Cancer,RandomFuzzyRules__max_sampling_attempts__20000,0.7344827586206897,0.04596934000728648,10
15,Breast Cancer Wisconsin (Original),RandomFuzzyRules__max_sampling_attempts__100000,0.962815734989648,0.09157183998031537,10
15,Breast Cancer Wisconsin (Original),RandomFuzzyRules__max_sampling_attempts__1000000,0.962815734989648,0.08980137999169524,10
15,Breast Cancer Wisconsin (Original),RandomFuzzyRules__max_sampling_attempts__20000,0.962815734989648,0.06631271000951525,10
17,Breast Cancer Wisconsin (Diagnostic),RandomFuzzyRules__max_sampling_attempts__100000,0.9491228070175438,0.08168977000750599,10
17,Breast Cancer Wisconsin (Diagnostic),RandomFuzzyRules__max_sampling_attempts__1000000,0.9491228070175438,0.07367807000409807,10
17,Breast Cancer Wisconsin (Diagnostic),RandomFuzzyRules__max_sampling_attempts__20000,0.9491228070175438,0.07367177997948597,10
27,Credit Approval,RandomFuzzyRules__max_sampling_attempts__100000,0.844927536231884,0.07789510999573392,10
27,Credit Approval,RandomFuzzyRules__max_sampling_attempts__1000000,0.844927536231884,0.0791655100183561,10
27,Credit Approval,RandomFuzzyRules__max_sampling_attempts__20000,0.846376811594203,0.06287351001519706,10
43,Haberman's Survival,RandomFuzzyRules__max_sampling_attempts__100000,0.751505376344086,0.12934386996785177,10
43,Haberman's Survival,RandomFuzzyRules__max_sampling_attempts__1000000,0.7744086021505376,0.2345177300041541,10
43,Haberman's Survival,RandomFuzzyRules__max_sampling_attempts__20000,0.7317204301075269,0.027454920008312865,10
45,Heart Disease,RandomFuzzyRules__max_sampling_attempts__100000,0.7625806451612903,0.06130844001891087,10
45,Heart Disease,RandomFuzzyRules__max_sampling_attempts__1000000,0.7625806451612903,0.05934445001184936,10
45,Heart Disease,RandomFuzzyRules__max_sampling_attempts__20000,0.7725806451612903,0.051528590021189244,10
46,Hepatitis,RandomFuzzyRules__max_sampling_attempts__100000,0.7604166666666666,0.05405153000028799,10
46,Hepatitis,RandomFuzzyRules__max_sampling_attempts__1000000,0.7604166666666666,0.05441760999383401,10
46,Hepatitis,RandomFuzzyRules__max_sampling_attempts__20000,0.7604166666666666,0.053023010015021965,10
52,Ionosphere,RandomFuzzyRules__max_sampling_attempts__100000,0.8831746031746033,0.0791059700073674,10
52,Ionosphere,RandomFuzzyRules__max_sampling_attempts__1000000,0.8831746031746033,0.06741649000905447,10
52,Ionosphere,RandomFuzzyRules__max_sampling_attempts__20000,0.8831746031746033,0.07941164999501775,10
