dataset_id,dataset_name,estimator,accuracy,fit_time,completed_folds
14,Breast Cancer,RandomFuzzyRules__n_candidates__1000,0.7413793103448276,0.007327890011947549,10
14,Breast Cancer,RandomFuzzyRules__n_candidates__10000,0.7310344827586207,0.06809584001312027,10
14,Breast Cancer,RandomFuzzyRules__n_candidates__100000,0.7450738916256158,0.5842492899973877,10
14,Breast Cancer,RandomFuzzyRules__n_candidates__25000,0.7274630541871921,0.1950100899673998,10
14,Breast Cancer,RandomFuzzyRules__n_candidates__5000,0.7344827586206897,0.03772959000198166,10
14,Breast Cancer,RandomFuzzyRules__n_candidates__50000,0.7485221674876847,0.3105524200247601,10
15,Breast Cancer Wisconsin (Original),RandomFuzzyRules__n_candidates__1000,0.9484886128364389,0.00954070000443602,10
15,Breast Cancer Wisconsin (Original),RandomFuzzyRules__n_candidates__10000,0.962815734989648,0.08448810998816039,10
15,Breast Cancer Wisconsin (Original),RandomFuzzyRules__n_candidates__100000,0.9685300207039338,0.8175616599852219,10
15,Breast Cancer Wisconsin (Original),RandomFuzzyRules__n_candidates__25000,0.9556521739130435,0.2204912700108252,10
15,Breast Cancer Wisconsin (Original),RandomFuzzyRules__n_candidates__5000,0.962815734989648,0.04420173998223613,10
15,Breast Cancer Wisconsin (Original),RandomFuzzyRules__n_candidates__50000,0.9442028985507246,0.4122508499887772,10
17,Breast Cancer Wisconsin (Diagnostic),RandomFuzzyRules__n_candidates__1000,0.9156954887218045,0.00913705996936183,10
17,Breast Cancer Wisconsin (Diagnostic),RandomFuzzyRules__n_candidates__10000,0.9491228070175438,0.0743506300146691,10
17,Breast Cancer Wisconsin (Diagnostic),RandomFuzzyRules__n_candidates__100000,0.9350250626566418,0.6404968000133522,10
17,Breast Cancer Wisconsin (Diagnostic),RandomFuzzyRules__n_candidates__25000,0.9367794486215539,0.18275658998172725,10
17,Breast Cancer Wisconsin (Diagnostic),RandomFuzzyRules__n_candidates__5000,0.9280388471177945,0.039019840036053174,10
17,Breast Cancer Wisconsin (Diagnostic),RandomFuzzyRules__n_candidates__50000,0.9367794486215539,0.33336888999911024,10
27,Credit Approval,RandomFuzzyRules__n_candidates__1000,0.855072463768116,0.00868859001202504,10
27,Credit Approval,RandomFuzzyRules__n_candidates__10000,0.844927536231884,0.07615327000385147,10
27,Credit Approval,RandomFuzzyRules__n_candidates__100000,0.855072463768116,0.688871269999072,10
27,Credit Approval,RandomFuzzyRules__n_candidates__25000,0.844927536231884,0.18529238000046458,10
27,Credit Approval,RandomFuzzyRules__n_candidates__5000,0.846376811594203,0.039631810015998734,10
27,Credit Approval,RandomFuzzyRules__n_candidates__50000,0.855072463768116,0.3578305599978193,10
43,Haberman's Survival,RandomFuzzyRules__n_candidates__1000,0.7349462365591398,0.01571315999608482,10
43,Haberman's Survival,RandomFuzzyRules__n_candidates__10000,0.7744086021505376,0.22471089998725796,10
43,Haberman's Survival,RandomFuzzyRules__n_candidates__100000,0.7547311827956988,1.050020189990755,10
43,Haberman's Survival,RandomFuzzyRules__n_candidates__25000,0.7678494623655914,0.6168126999982633,10
43,Haberman's Survival,RandomFuzzyRules__n_candidates__5000,0.751505376344086,0.096225760015659,10
43,Haberman's Survival,RandomFuzzyRules__n_candidates__50000,0.7547311827956988,0.9793354699970223,10
45,Heart Disease,RandomFuzzyRules__n_candidates__1000,0.7491397849462366,0.00765028001042078,10
45,Heart Disease,RandomFuzzyRules__n_candidates__10000,0.7625806451612903,0.07135368000017474,10
45,Heart Disease,RandomFuzzyRules__n_candidates__100000,0.7555913978494624,0.6446955000166781,10
45,Heart Disease,RandomFuzzyRules__n_candidates__25000,0.7426881720430107,0.17445466999197376,10
45,Heart Disease,RandomFuzzyRules__n_candidates__5000,0.7725806451612903,0.03498914001975206,10
45,Heart Disease,RandomFuzzyRules__n_candidates__50000,0.7687096774193549,0.3238366700126789,10
46,Hepatitis,RandomFuzzyRules__n_candidates__1000,0.8191666666666666,0.006617690017446829,10
46,Hepatitis,RandomFuzzyRules__n_candidates__10000,0.7604166666666666,0.06071159997954961,10
46,Hepatitis,RandomFuzzyRules__n_candidates__100000,0.7929166666666667,0.5105869799968786,10
46,Hepatitis,RandomFuzzyRules__n_candidates__25000,0.8054166666666667,0.149517150002066,10
46,Hepatitis,RandomFuzzyRules__n_candidates__5000,0.7804166666666668,0.030467020021751463,10
46,Hepatitis,RandomFuzzyRules__n_candidates__50000,0.8116666666666668,0.27192845001118254,10
52,Ionosphere,RandomFuzzyRules__n_candidates__1000,0.8204761904761906,0.00800048998789857,10
52,Ionosphere,RandomFuzzyRules__n_candidates__10000,0.8831746031746033,0.07350714001804584,10
52,Ionosphere,RandomFuzzyRules__n_candidates__100000,0.8746031746031747,0.6086066799936816,10
52,Ionosphere,RandomFuzzyRules__n_candidates__25000,0.8831746031746033,0.1765239100088365,10
52,Ionosphere,RandomFuzzyRules__n_candidates__5000,0.8831746031746033,0.03711807002546262,10
52,Ionosphere,RandomFuzzyRules__n_candidates__50000,0.8831746031746033,0.32933058000635357,10
74,Musk (Version 1),RandomFuzzyRules__n_candidates__1000,0.649113475177305,0.010180120007134929,10
74,Musk (Version 1),RandomFuzzyRules__n_candidates__10000,0.6788120567375886,0.08173714000731704,10
74,Musk (Version 1),RandomFuzzyRules__n_candidates__100000,0.7103280141843972,0.7734160899883136,10
74,Musk (Version 1),RandomFuzzyRules__n_candidates__25000,0.7124113475177305,0.209647730004508,10
74,Musk (Version 1),RandomFuzzyRules__n_candidates__5000,0.662145390070922,0.04053694001631808,10
74,Musk (Version 1),RandomFuzzyRules__n_candidates__50000,0.7124113475177305,0.40963641001144424,10
75,Musk (Version 2),RandomFuzzyRules__n_candidates__1000,0.8469239435324413,0.07506185998208817,10
75,Musk (Version 2),RandomFuzzyRules__n_candidates__10000,0.8522313422541041,0.5569514899863861,10
75,Musk (Version 2),RandomFuzzyRules__n_candidates__100000,0.8763247804294846,5.360165959992446,10
75,Musk (Version 2),RandomFuzzyRules__n_candidates__25000,0.856169126776107,1.3654567799996584,10
75,Musk (Version 2),RandomFuzzyRules__n_candidates__5000,0.8484393249643629,0.2940721100196242,10
75,Musk (Version 2),RandomFuzzyRules__n_candidates__50000,0.8763247804294846,2.6386763400048947,10
94,Spambase,RandomFuzzyRules__n_candidates__1000,0.6109539752900123,0.03973180000903082,10
94,Spambase,RandomFuzzyRules__n_candidates__10000,0.6239946241629728,0.2660662699723616,10
94,Spambase,RandomFuzzyRules__n_candidates__100000,0.6218178817315854,2.5737643499975094,10
94,Spambase,RandomFuzzyRules__n_candidates__25000,0.6244294067716684,0.6460964300087653,10
94,Spambase,RandomFuzzyRules__n_candidates__5000,0.6239946241629728,0.14418396997498342,10
94,Spambase,RandomFuzzyRules__n_candidates__50000,0.6231250589455815,1.364565790013876,10
95,SPECT Heart,RandomFuzzyRules__n_candidates__1000,0.7452991452991453,0.0075611100066452705,10
95,SPECT Heart,RandomFuzzyRules__n_candidates__10000,0.7491452991452991,0.06681428001029413,10
95,SPECT Heart,RandomFuzzyRules__n_candidates__100000,0.798148148148148,0.5499742899904959,10
95,SPECT Heart,RandomFuzzyRules__n_candidates__25000,0.7532763532763533,0.15579209000570696,10
95,SPECT Heart,RandomFuzzyRules__n_candidates__5000,0.7418803418803419,0.03253242997452612,10
95,SPECT Heart,RandomFuzzyRules__n_candidates__50000,0.798148148148148,0.2938376900041476,10
105,Congressional Voting Records,RandomFuzzyRules__n_candidates__1000,0.9563424947145878,0.00779971999581897,10
105,Congressional Voting Records,RandomFuzzyRules__n_candidates__10000,0.9563424947145878,0.07076874999329442,10
105,Congressional Voting Records,RandomFuzzyRules__n_candidates__100000,0.947198731501057,0.6320268800249323,10
105,Congressional Voting Records,RandomFuzzyRules__n_candidates__25000,0.9563424947145878,0.1744566199951805,10
105,Congressional Voting Records,RandomFuzzyRules__n_candidates__5000,0.9563424947145878,0.036714559968095216,10
105,Congressional Voting Records,RandomFuzzyRules__n_candidates__50000,0.9517970401691331,0.32769353999756273,10
144,Statlog (German Credit Data),RandomFuzzyRules__n_candidates__1000,0.6799999999999999,0.00996185000985855,10
144,Statlog (German Credit Data),RandomFuzzyRules__n_candidates__10000,0.726,0.08834750000387424,10
144,Statlog (German Credit Data),RandomFuzzyRules__n_candidates__100000,0.718,0.751057530043181,10
144,Statlog (German Credit Data),RandomFuzzyRules__n_candidates__25000,0.724,0.21898366003297265,10
144,Statlog (German Credit Data),RandomFuzzyRules__n_candidates__5000,0.726,0.0433863700018264,10
144,Statlog (German Credit Data),RandomFuzzyRules__n_candidates__50000,0.724,0.4093759800074622,10
