dataset_id,dataset_name,fold,estimator,n_train,n_test,n_original_features,accuracy,f1,auroc,fit_time,predict_time
14,Breast Cancer,1,RandomFuzzyRules__n_candidates__1000,257,29,9,0.7241379310344828,0.3333333333333333,0.48809523809523814,0.008131999988108873,0.0002610000083222985
14,Breast Cancer,1,RandomFuzzyRules__n_candidates__5000,257,29,9,0.7586206896551724,0.36363636363636365,0.6607142857142857,0.028820799896493554,0.0002850000746548176
14,Breast Cancer,1,RandomFuzzyRules__n_candidates__10000,257,29,9,0.7586206896551724,0.36363636363636365,0.6607142857142857,0.07550769997760653,0.00036349997390061617
14,Breast Cancer,1,RandomFuzzyRules__n_candidates__25000,257,29,9,0.7586206896551724,0.36363636363636365,0.6607142857142857,0.19298809999600053,0.0002669000532478094
14,Breast Cancer,1,RandomFuzzyRules__n_candidates__50000,257,29,9,0.7931034482758621,0.5,0.7232142857142856,0.2931193000404164,0.0003477999707683921
14,Breast Cancer,1,RandomFuzzyRules__n_candidates__100000,257,29,9,0.7586206896551724,0.36363636363636365,0.6607142857142857,0.6237874000798911,0.0003085000207647681
14,Breast Cancer,2,RandomFuzzyRules__n_candidates__1000,257,29,9,0.6896551724137931,0.0,0.5055555555555555,0.006363700027577579,0.00022639997769147158
14,Breast Cancer,2,RandomFuzzyRules__n_candidates__5000,257,29,9,0.6896551724137931,0.0,0.5055555555555555,0.032797800027765334,0.0003198999911546707
14,Breast Cancer,2,RandomFuzzyRules__n_candidates__10000,257,29,9,0.6896551724137931,0.0,0.5055555555555555,0.06609380000736564,0.0003570999251678586
14,Breast Cancer,2,RandomFuzzyRules__n_candidates__25000,257,29,9,0.6896551724137931,0.0,0.5055555555555555,0.17813619994558394,0.00032750004902482033
14,Breast Cancer,2,RandomFuzzyRules__n_candidates__50000,257,29,9,0.6896551724137931,0.0,0.48055555555555557,0.2781230000546202,0.00035369989927858114
14,Breast Cancer,2,RandomFuzzyRules__n_candidates__100000,257,29,9,0.6896551724137931,0.0,0.48055555555555557,0.5381134999915957,0.00033009995240718126
14,Breast Cancer,3,RandomFuzzyRules__n_candidates__1000,257,29,9,0.7931034482758621,0.5714285714285714,0.7083333333333334,0.008948800037615001,0.00025839998852461576
14,Breast Cancer,3,RandomFuzzyRules__n_candidates__5000,257,29,9,0.7931034482758621,0.5714285714285714,0.7083333333333334,0.03635209996718913,0.0003074000123888254
14,Breast Cancer,3,RandomFuzzyRules__n_candidates__10000,257,29,9,0.7931034482758621,0.5714285714285714,0.7083333333333334,0.06853310007136315,0.0002476000227034092
14,Breast Cancer,3,RandomFuzzyRules__n_candidates__25000,257,29,9,0.7931034482758621,0.5714285714285714,0.7083333333333334,0.1708315999712795,0.0003306999569758773
14,Breast Cancer,3,RandomFuzzyRules__n_candidates__50000,257,29,9,0.7931034482758621,0.5714285714285714,0.7333333333333333,0.34765850007534027,0.00030069996137171984
14,Breast Cancer,3,RandomFuzzyRules__n_candidates__100000,257,29,9,0.7931034482758621,0.5714285714285714,0.7333333333333333,0.6629846999421716,0.00021470000501722097
14,Breast Cancer,4,RandomFuzzyRules__n_candidates__1000,257,29,9,0.7241379310344828,0.3333333333333333,0.5861111111111111,0.006046900060027838,0.0002470000181347132
14,Breast Cancer,4,RandomFuzzyRules__n_candidates__5000,257,29,9,0.7241379310344828,0.3333333333333333,0.5861111111111111,0.038325700093992054,0.000395399983972311
14,Breast Cancer,4,RandomFuzzyRules__n_candidates__10000,257,29,9,0.7241379310344828,0.3333333333333333,0.5861111111111111,0.05899439996574074,0.00031240005046129227
