dataset_id,dataset_name,estimator,accuracy,fit_time,completed_folds
14,Breast Cancer,RandomFuzzyRules__sampling__n1_l1,0.7205665024630542,0.0793679699883796,10
14,Breast Cancer,RandomFuzzyRules__sampling__n1_l2,0.7348522167487685,0.06834846000419924,10
14,Breast Cancer,RandomFuzzyRules__sampling__n2_l1,0.7309113300492611,0.06522765998961401,10
14,Breast Cancer,RandomFuzzyRules__sampling__n2_l2,0.7310344827586207,0.05913987000240008,10
15,Breast Cancer Wisconsin (Original),RandomFuzzyRules__sampling__n1_l1,0.9499171842650103,0.11599486001068722,10
15,Breast Cancer Wisconsin (Original),RandomFuzzyRules__sampling__n1_l2,0.9527950310559007,0.09408039998961609,10
15,Breast Cancer Wisconsin (Original),RandomFuzzyRules__sampling__n2_l1,0.9342028985507247,0.09208899998338889,10
15,Breast Cancer Wisconsin (Original),RandomFuzzyRules__sampling__n2_l2,0.962815734989648,0.08548336004605513,10
17,Breast Cancer Wisconsin (Diagnostic),RandomFuzzyRules__sampling__n1_l1,0.9157581453634085,0.0978493799688294,10
17,Breast Cancer Wisconsin (Diagnostic),RandomFuzzyRules__sampling__n1_l2,0.9490601503759398,0.08851977002341295,10
17,Breast Cancer Wisconsin (Diagnostic),RandomFuzzyRules__sampling__n2_l1,0.9596491228070176,0.0801275499979965,10
17,Breast Cancer Wisconsin (Diagnostic),RandomFuzzyRules__sampling__n2_l2,0.9491228070175438,0.0763330599875189,10
27,Credit Approval,RandomFuzzyRules__sampling__n1_l1,0.8652173913043478,0.08510237002046775,10
27,Credit Approval,RandomFuzzyRules__sampling__n1_l2,0.8521739130434783,0.07587029000278557,10
27,Credit Approval,RandomFuzzyRules__sampling__n2_l1,0.846376811594203,0.07451679999940095,10
27,Credit Approval,RandomFuzzyRules__sampling__n2_l2,0.844927536231884,0.0667276099673472,10
43,Haberman's Survival,RandomFuzzyRules__sampling__n1_l1,0.7578494623655914,0.4919383800122887,10
43,Haberman's Survival,RandomFuzzyRules__sampling__n1_l2,0.7482795698924731,0.17151004998013375,10
43,Haberman's Survival,RandomFuzzyRules__sampling__n2_l1,0.7383870967741936,0.4170119299786165,10
43,Haberman's Survival,RandomFuzzyRules__sampling__n2_l2,0.7744086021505376,0.16262617000611496,10
45,Heart Disease,RandomFuzzyRules__sampling__n1_l1,0.7790322580645161,0.07576479997951532,10
45,Heart Disease,RandomFuzzyRules__sampling__n1_l2,0.7126881720430107,0.06957222003256898,10
45,Heart Disease,RandomFuzzyRules__sampling__n2_l1,0.7887096774193548,0.06445560998981813,10
45,Heart Disease,RandomFuzzyRules__sampling__n2_l2,0.7625806451612903,0.058843499992508395,10
46,Hepatitis,RandomFuzzyRules__sampling__n1_l1,0.8066666666666666,0.06223934000590812,10
46,Hepatitis,RandomFuzzyRules__sampling__n1_l2,0.8445833333333332,0.056797580013517236,10
46,Hepatitis,RandomFuzzyRules__sampling__n2_l1,0.80625,0.05279152999864885,10
46,Hepatitis,RandomFuzzyRules__sampling__n2_l2,0.7604166666666666,0.05084452000446612,10
52,Ionosphere,RandomFuzzyRules__sampling__n1_l1,0.8833333333333334,0.08360008997842665,10
52,Ionosphere,RandomFuzzyRules__sampling__n1_l2,0.8233333333333335,0.07378788002533834,10
52,Ionosphere,RandomFuzzyRules__sampling__n2_l1,0.8717460317460318,0.06759663997218009,10
52,Ionosphere,RandomFuzzyRules__sampling__n2_l2,0.8831746031746033,0.06239300998859102,10
74,Musk (Version 1),RandomFuzzyRules__sampling__n1_l1,0.7102836879432625,0.10863383001415054,10
74,Musk (Version 1),RandomFuzzyRules__sampling__n1_l2,0.708200354609929,0.08654494999209414,10
74,Musk (Version 1),RandomFuzzyRules__sampling__n2_l1,0.708200354609929,0.08368406000081445,10
74,Musk (Version 1),RandomFuzzyRules__sampling__n2_l2,0.6788120567375886,0.07273594000143925,10
75,Musk (Version 2),RandomFuzzyRules__sampling__n1_l1,0.8599586149813767,0.7685974500025623,10
75,Musk (Version 2),RandomFuzzyRules__sampling__n1_l2,0.8541985101393296,0.5850230400101282,10
75,Musk (Version 2),RandomFuzzyRules__sampling__n2_l1,0.8605649055042075,0.6426079400000162,10
75,Musk (Version 2),RandomFuzzyRules__sampling__n2_l2,0.8522313422541041,0.5655824700021185,10
94,Spambase,RandomFuzzyRules__sampling__n1_l1,0.6189946241629728,0.3613721500034444,10
94,Spambase,RandomFuzzyRules__sampling__n1_l2,0.6313835706875413,0.27662573999259615,10
94,Spambase,RandomFuzzyRules__sampling__n2_l1,0.6157337545977554,0.29860359000740566,10
94,Spambase,RandomFuzzyRules__sampling__n2_l2,0.6239946241629728,0.26553614999866115,10
95,SPECT Heart,RandomFuzzyRules__sampling__n1_l1,0.7492877492877492,0.06024253999348724,10
95,SPECT Heart,RandomFuzzyRules__sampling__n1_l2,0.7978632478632479,0.05845169000094752,10
95,SPECT Heart,RandomFuzzyRules__sampling__n2_l1,0.7682336182336182,0.05572629999369379,10
95,SPECT Heart,RandomFuzzyRules__sampling__n2_l2,0.7491452991452991,0.054156319983303516,10
105,Congressional Voting Records,RandomFuzzyRules__sampling__n1_l1,0.9563424947145878,0.07143949001329016,10
105,Congressional Voting Records,RandomFuzzyRules__sampling__n1_l2,0.9563424947145878,0.06483159000053998,10
105,Congressional Voting Records,RandomFuzzyRules__sampling__n2_l1,0.9540697674418605,0.06036135000176723,10
105,Congressional Voting Records,RandomFuzzyRules__sampling__n2_l2,0.9563424947145878,0.058624629967380285,10
144,Statlog (German Credit Data),RandomFuzzyRules__sampling__n1_l1,0.692,0.10022707999451079,10
144,Statlog (German Credit Data),RandomFuzzyRules__sampling__n1_l2,0.7230000000000001,0.09768640999682243,10
144,Statlog (German Credit Data),RandomFuzzyRules__sampling__n2_l1,0.6859999999999999,0.0901331400033086,10
144,Statlog (German Credit Data),RandomFuzzyRules__sampling__n2_l2,0.726,0.07882297000614921,10
151,"Connectionist Bench (Sonar, Mines vs. Rocks)",RandomFuzzyRules__sampling__n1_l1,0.6723809523809524,0.0641666600015014,10
151,"Connectionist Bench (Sonar, Mines vs. Rocks)",RandomFuzzyRules__sampling__n1_l2,0.7352380952380952,0.061634089995641204,10
151,"Connectionist Bench (Sonar, Mines vs. Rocks)",RandomFuzzyRules__sampling__n2_l1,0.720952380952381,0.058256130036897925,10
151,"Connectionist Bench (Sonar, Mines vs. Rocks)",RandomFuzzyRules__sampling__n2_l2,0.7307142857142856,0.05507476999191563,10
161,Mammographic Mass,RandomFuzzyRules__sampling__n1_l1,0.8075493986254296,0.2059496999951079,10
161,Mammographic Mass,RandomFuzzyRules__sampling__n1_l2,0.8002577319587628,0.14025830001337453,10
