dataset_id,dataset_name,fold,estimator,n_train,n_test,n_original_features,accuracy,f1,auroc,fit_time,predict_time
14,Breast Cancer,1,RandomFuzzyRules__sampling__n1_l1,257,29,9,0.7931034482758621,0.5,0.7232142857142856,0.08414960000663996,0.00034490006510168314
14,Breast Cancer,1,RandomFuzzyRules__sampling__n1_l2,257,29,9,0.6551724137931034,0.16666666666666666,0.44940476190476186,0.06686200003605336,0.00029310001991689205
14,Breast Cancer,1,RandomFuzzyRules__sampling__n2_l1,257,29,9,0.7931034482758621,0.5,0.7232142857142856,0.07007599994540215,0.00033599999733269215
14,Breast Cancer,1,RandomFuzzyRules__sampling__n2_l2,257,29,9,0.7586206896551724,0.36363636363636365,0.6607142857142857,0.05514700000640005,0.00025289994664490223
14,Breast Cancer,2,RandomFuzzyRules__sampling__n1_l1,257,29,9,0.6896551724137931,0.0,0.5277777777777778,0.08428619999904186,0.00023740006145089865
14,Breast Cancer,2,RandomFuzzyRules__sampling__n1_l2,257,29,9,0.6896551724137931,0.0,0.5055555555555555,0.06486540008336306,0.00032400002237409353
14,Breast Cancer,2,RandomFuzzyRules__sampling__n2_l1,257,29,9,0.6896551724137931,0.0,0.48055555555555557,0.06273759994655848,0.00031720008701086044
14,Breast Cancer,2,RandomFuzzyRules__sampling__n2_l2,257,29,9,0.6896551724137931,0.0,0.5055555555555555,0.05831759993452579,0.00024309998843818903
14,Breast Cancer,3,RandomFuzzyRules__sampling__n1_l1,257,29,9,0.7586206896551724,0.3636363636363636,0.6472222222222221,0.07865700009278953,0.00033480010461062193
14,Breast Cancer,3,RandomFuzzyRules__sampling__n1_l2,257,29,9,0.7931034482758621,0.5714285714285714,0.7333333333333333,0.06493400002364069,0.0003299999516457319
14,Breast Cancer,3,RandomFuzzyRules__sampling__n2_l1,257,29,9,0.7931034482758621,0.5714285714285714,0.7333333333333333,0.059595300001092255,0.000233299913816154
14,Breast Cancer,3,RandomFuzzyRules__sampling__n2_l2,257,29,9,0.7931034482758621,0.5714285714285714,0.7083333333333334,0.05753510002978146,0.0003160999622195959
14,Breast Cancer,4,RandomFuzzyRules__sampling__n1_l1,257,29,9,0.6896551724137931,0.1818181818181818,0.5305555555555556,0.07677539996802807,0.00031560007482767105
14,Breast Cancer,4,RandomFuzzyRules__sampling__n1_l2,257,29,9,0.6896551724137931,0.30769230769230765,0.7111111111111111,0.06322929996531457,0.00028629996813833714
14,Breast Cancer,4,RandomFuzzyRules__sampling__n2_l1,257,29,9,0.7241379310344828,0.42857142857142855,0.7666666666666667,0.06313200003933161,0.0003154999576508999
14,Breast Cancer,4,RandomFuzzyRules__sampling__n2_l2,257,29,9,0.7241379310344828,0.3333333333333333,0.5861111111111111,0.07152070000302047,0.0003229000139981508
14,Breast Cancer,5,RandomFuzzyRules__sampling__n1_l1,257,29,9,0.5862068965517241,0.0,0.425,0.07327649998478591,0.00023479992523789406
14,Breast Cancer,5,RandomFuzzyRules__sampling__n1_l2,257,29,9,0.6551724137931034,0.0,0.47777777777777775,0.07390740001574159,0.0003391999052837491
14,Breast Cancer,5,RandomFuzzyRules__sampling__n2_l1,257,29,9,0.6206896551724138,0.0,0.45,0.0627853999612853,0.0003155999584123492
14,Breast Cancer,5,RandomFuzzyRules__sampling__n2_l2,257,29,9,0.6206896551724138,0.0,0.45,0.05699840001761913,0.0003019999712705612
14,Breast Cancer,6,RandomFuzzyRules__sampling__n1_l1,257,29,9,0.7241379310344828,0.3333333333333333,0.5861111111111111,0.07994419999886304,0.00033930002246052027
14,Breast Cancer,6,RandomFuzzyRules__sampling__n1_l2,257,29,9,0.7586206896551724,0.3636363636363636,0.5722222222222223,0.07763580000028014,0.0003263000398874283
14,Breast Cancer,6,RandomFuzzyRules__sampling__n2_l1,257,29,9,0.7241379310344828,0.3333333333333333,0.5861111111111111,0.06220859999302775,0.0003018999705091119
14,Breast Cancer,6,RandomFuzzyRules__sampling__n2_l2,257,29,9,0.7241379310344828,0.3333333333333333,0.5861111111111111,0.057713699992746115,0.0003212000010535121
14,Breast Cancer,7,RandomFuzzyRules__sampling__n1_l1,258,28,9,0.8214285714285714,0.6153846153846154,0.7249999999999999,0.07704809994902462,0.00031479995232075453
14,Breast Cancer,7,RandomFuzzyRules__sampling__n1_l2,258,28,9,0.8214285714285714,0.6153846153846154,0.7249999999999999,0.0640190999256447,0.0002405000850558281
14,Breast Cancer,7,RandomFuzzyRules__sampling__n2_l1,258,28,9,0.7857142857142857,0.5,0.6625,0.06357399991247803,0.0003418000414967537
14,Breast Cancer,7,RandomFuzzyRules__sampling__n2_l2,258,28,9,0.8214285714285714,0.6153846153846154,0.7249999999999999,0.05972480005584657,0.000291600008495152
14,Breast Cancer,8,RandomFuzzyRules__sampling__n1_l1,258,28,9,0.7142857142857143,0.2,0.5375,0.07688499998766929,0.0003092000260949135
14,Breast Cancer,8,RandomFuzzyRules__sampling__n1_l2,258,28,9,0.75,0.36363636363636365,0.621875,0.06670059997122735,0.0003122000489383936
14,Breast Cancer,8,RandomFuzzyRules__sampling__n2_l1,258,28,9,0.7142857142857143,0.2,0.5375,0.05894680006895214,0.00024279998615384102
14,Breast Cancer,8,RandomFuzzyRules__sampling__n2_l2,258,28,9,0.7142857142857143,0.2,0.5375,0.060761300032027066,0.00022039993200451136
14,Breast Cancer,9,RandomFuzzyRules__sampling__n1_l1,258,28,9,0.7142857142857143,0.3333333333333333,0.6124999999999999,0.07904849993065,0.0002812000457197428
14,Breast Cancer,9,RandomFuzzyRules__sampling__n1_l2,258,28,9,0.75,0.4615384615384615,0.678125,0.07207210001070052,0.0003336999798193574
14,Breast Cancer,9,RandomFuzzyRules__sampling__n2_l1,258,28,9,0.75,0.4615384615384615,0.678125,0.07364509999752045,0.0003206999972462654
14,Breast Cancer,9,RandomFuzzyRules__sampling__n2_l2,258,28,9,0.75,0.4615384615384615,0.678125,0.056304599973373115,0.0002574000973254442
14,Breast Cancer,10,RandomFuzzyRules__sampling__n1_l1,258,28,9,0.7142857142857143,0.5,0.6500000000000001,0.083609199966304,0.00033569999504834414
14,Breast Cancer,10,RandomFuzzyRules__sampling__n1_l2,258,28,9,0.7857142857142857,0.5714285714285715,0.6375000000000001,0.06925890001002699,0.00027219997718930244
14,Breast Cancer,10,RandomFuzzyRules__sampling__n2_l1,258,28,9,0.7142857142857143,0.5,0.6500000000000001,0.07557580003049225,0.00023269990924745798
14,Breast Cancer,10,RandomFuzzyRules__sampling__n2_l2,258,28,9,0.7142857142857143,0.5,0.6500000000000001,0.05737549997866154,0.00021680002100765705
