dataset_name,estimator,n_rules,n_conditions,mean_conditions_per_rule,n_literals,mean_literals_per_rule,completed_folds,n_expected_folds
acquire_valued_shoppers_challenge,GPR,2.0,2.0,1.0,2.0,1.0,5,5
acquire_valued_shoppers_challenge,RFR,2.0,2.0,1.0,2.0,1.0,5,5
amazon_employee_access,GPR,5.0,15.0,2.8703703703703702,15.0,2.8703703703703702,9,9
amazon_employee_access,RFR,2.0,2.3333333333333335,1.1666666666666667,2.3333333333333335,1.1666666666666667,9,9
amex_non_iid,GPR,2.0,4.0,2.0,5.0,2.5,1,1
amex_non_iid,RFR,1.0,1.0,1.0,1.0,1.0,1,1
bad_customer_detection,GPR,1.2,4.8,4.15,5.0,4.333333333333333,30,30
bad_customer_detection,RFR,1.0,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,30,30
bank_customer_churn,GPR,1.1111111111111112,1.4444444444444444,1.1666666666666667,1.5555555555555556,1.2222222222222223,9,9
bank_customer_churn,RFR,1.0,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,9,9
bioresponse,GPR,3.0,7.222222222222222,2.407407407407407,7.555555555555555,2.518518518518518,9,9
bioresponse,RFR,1.0,1.0,1.0,1.0,1.0,9,9
churn,GPR,1.0,2.4444444444444446,2.4444444444444446,2.4444444444444446,2.4444444444444446,9,9
churn,RFR,1.0,2.0,2.0,2.0,2.0,9,9
clock_protein_toxicity,GPR,2.4,6.066666666666666,2.3666666666666667,6.416666666666667,2.525,60,60
clock_protein_toxicity,RFR,1.1666666666666667,2.066666666666667,1.7833333333333334,2.066666666666667,1.7833333333333334,60,60
credit_card_clients_default,GPR,1.8888888888888888,2.7777777777777777,1.3055555555555556,3.111111111111111,1.4444444444444444,9,9
credit_card_clients_default,RFR,2.0,2.888888888888889,1.4444444444444444,2.888888888888889,1.4444444444444444,9,9
credit_g,GPR,4.233333333333333,9.7,2.2333333333333334,10.333333333333334,2.3766666666666665,30,30
credit_g,RFR,1.9333333333333333,2.8333333333333335,1.4666666666666666,2.8333333333333335,1.4666666666666666,30,30
customer_satisfaction_in_airline,GPR,3.2222222222222223,7.444444444444445,2.2129629629629632,7.666666666666667,2.2685185185185186,9,9
customer_satisfaction_in_airline,RFR,2.0,2.5555555555555554,1.2777777777777777,2.5555555555555554,1.2777777777777777,9,9
diabetes_130_us,GPR,1.0,3.3333333333333335,3.3333333333333335,3.6666666666666665,3.6666666666666665,9,9
diabetes_130_us,RFR,1.1111111111111112,2.2222222222222223,2.0,2.2222222222222223,2.0,9,9
drug_induced_autoimmunity_prediction,GPR,1.6333333333333333,3.75,2.219444444444444,4.216666666666667,2.513888888888889,60,60
drug_induced_autoimmunity_prediction,RFR,1.0166666666666666,1.3166666666666667,1.3,1.3166666666666667,1.3,60,60
ecommerce_shipping,GPR,2.0,4.666666666666667,2.3333333333333335,4.666666666666667,2.3333333333333335,9,9
ecommerce_shipping,RFR,1.2222222222222223,1.2222222222222223,1.0,1.2222222222222223,1.0,9,9
fitness_club,GPR,1.0666666666666667,1.0666666666666667,1.0,1.0666666666666667,1.0,30,30
fitness_club,RFR,1.7666666666666666,2.8666666666666667,1.55,2.8666666666666667,1.55,30,30
gallstone_disease,GPR,2.0833333333333335,4.483333333333333,2.0466666666666664,4.766666666666667,2.239722222222222,60,60
