dataset_name,repeat_id,fold_id,fold,n_expected_folds,estimator,n_train,n_test,n_original_features,n_transformed_features,accuracy,balanced_accuracy,auroc,mcc,fit_time,predict_time,n_rules,n_conditions,mean_conditions_per_rule,n_literals,mean_literals_per_rule
acquire_valued_shoppers_challenge,0,0,1,5,RFR,140701,19356,110,116,0.6390783219673486,0.5,0.562810104560663,0.0,0.2637154133990407,0.004875598940998316,2,2,1.0,2,1.0
acquire_valued_shoppers_challenge,0,0,1,5,GPR,140701,19356,110,116,0.6390783219673486,0.5,0.5,0.0,2.248200085014105,0.02731379121541977,2,2,1.0,2,1.0
acquire_valued_shoppers_challenge,0,0,1,5,FIGS,140701,19356,110,116,0.6718846869187849,0.5613975265463367,0.600088264067111,0.2106720848949016,7.446696642786264,0.04458240931853652,,,,,
acquire_valued_shoppers_challenge,0,0,1,5,HSTree,140701,19356,110,116,0.6416615003099814,0.5110860594037133,0.5923257995376363,0.0651320225088248,1.6385583952069283,0.005078455898910761,,,,,
acquire_valued_shoppers_challenge,0,0,1,5,GreedyRuleList,140701,19356,110,116,0.6390783219673486,0.5,0.5545359456642815,0.0,1.136828447226435,0.02045524399727583,,,,,
acquire_valued_shoppers_challenge,0,0,1,5,Dummy,140701,19356,110,116,0.6390783219673486,0.5,0.5,0.0,0.02002383815124631,0.00021945824846625328,,,,,
acquire_valued_shoppers_challenge,1,0,2,5,RFR,110396,30305,110,116,0.6355716878402904,0.5000905305087815,0.5887030325450011,0.010727203810964063,0.19229096826165915,0.008451190777122974,2,2,1.0,2,1.0
acquire_valued_shoppers_challenge,1,0,2,5,GPR,110396,30305,110,116,0.635538689985151,0.5000645686208329,0.5000645686208329,0.006247044757549867,2.1276807845570147,0.04011122602969408,2,2,1.0,2,1.0
acquire_valued_shoppers_challenge,1,0,2,5,FIGS,110396,30305,110,116,0.5914865533740307,0.5034523834672479,0.5575515004556328,0.008761216361766591,5.186028934083879,0.04131214274093509,,,,,
acquire_valued_shoppers_challenge,1,0,2,5,HSTree,110396,30305,110,116,0.6419402738821977,0.517725576536064,0.54911601393272,0.09055678512516464,0.959790307097137,0.008187474217265844,,,,,
acquire_valued_shoppers_challenge,1,0,2,5,GreedyRuleList,110396,30305,110,116,0.6355056921300115,0.5,0.5469967825779646,0.0,0.4456427497789264,0.03202781127765775,,,,,
acquire_valued_shoppers_challenge,1,0,2,5,Dummy,110396,30305,110,116,0.6355056921300115,0.5,0.5,0.0,0.01506364019587636,0.00021939678117632866,,,,,
acquire_valued_shoppers_challenge,2,0,3,5,RFR,105052,5344,110,116,0.7848053892215568,0.5,0.5821794074350521,0.0,0.18336331192404032,0.0012315167114138603,2,2,1.0,2,1.0
