study,value,repeat,estimator,n_samples,n_original_features,n_numerical_features,n_categorical_features,n_transformed_features,n_candidates,fit_time,fit_wall_time,status
samples,128,0,RFR,128,70,60,10,100,1000,0.0026296288706362247,0.0026296288706362247,ok
samples,128,0,GPR,128,70,60,10,100,,0.4937940570525825,0.707415864104405,ok
samples,128,0,FIGS,128,70,60,10,100,,0.02675532386638224,0.02675532386638224,ok
samples,128,0,HSTree,128,70,60,10,100,,0.003653777064755559,0.003653777064755559,ok
samples,128,0,GreedyRuleList,128,70,60,10,100,,0.0024816698860377073,0.0024816698860377073,ok
samples,128,1,RFR,128,70,60,10,100,1000,0.0026325590442866087,0.0026325590442866087,ok
samples,128,1,GPR,128,70,60,10,100,,0.4164023408666253,0.6303726439364254,ok
samples,128,1,FIGS,128,70,60,10,100,,0.05502004106529057,0.05502004106529057,ok
samples,128,1,HSTree,128,70,60,10,100,,0.003366400022059679,0.003366400022059679,ok
samples,128,1,GreedyRuleList,128,70,60,10,100,,0.0024764009285718203,0.0024764009285718203,ok
samples,128,2,RFR,128,70,60,10,100,1000,0.0025938989128917456,0.0025938989128917456,ok
samples,128,2,GPR,128,70,60,10,100,,0.7100848432164639,0.9238978170324117,ok
samples,128,2,FIGS,128,70,60,10,100,,0.05536012607626617,0.05536012607626617,ok
samples,128,2,HSTree,128,70,60,10,100,,0.0033563398756086826,0.0033563398756086826,ok
samples,128,2,GreedyRuleList,128,70,60,10,100,,0.002011076081544161,0.002011076081544161,ok
samples,128,3,RFR,128,70,60,10,100,1000,0.002605769084766507,0.002605769084766507,ok
samples,128,3,GPR,128,70,60,10,100,,0.5072696979623288,0.720034666126594,ok
samples,128,3,FIGS,128,70,60,10,100,,0.027498944895341992,0.027498944895341992,ok
samples,128,3,HSTree,128,70,60,10,100,,0.004104801919311285,0.004104801919311285,ok
samples,128,3,GreedyRuleList,128,70,60,10,100,,0.002962874947115779,0.002962874947115779,ok
samples,128,4,RFR,128,70,60,10,100,1000,0.002597619080916047,0.002597619080916047,ok
samples,128,4,GPR,128,70,60,10,100,,0.4774238718673587,0.6909292889758945,ok
samples,128,4,FIGS,128,70,60,10,100,,0.05665449099615216,0.05665449099615216,ok
samples,128,4,HSTree,128,70,60,10,100,,0.0032944208942353725,0.0032944208942353725,ok
samples,128,4,GreedyRuleList,128,70,60,10,100,,0.002604458946734667,0.002604458946734667,ok
samples,256,0,RFR,256,70,60,10,100,1000,0.004208850907161832,0.004208850907161832,ok
samples,256,0,GPR,256,70,60,10,100,,0.41569797112606466,0.6286957149859518,ok
samples,256,0,FIGS,256,70,60,10,100,,0.07836080505512655,0.07836080505512655,ok
samples,256,0,HSTree,256,70,60,10,100,,0.008954785065725446,0.008954785065725446,ok
samples,256,0,GreedyRuleList,256,70,60,10,100,,0.005493114935234189,0.005493114935234189,ok
samples,256,1,RFR,256,70,60,10,100,1000,0.004100820980966091,0.004100820980966091,ok
samples,256,1,GPR,256,70,60,10,100,,0.6469390210695565,0.8594725609291345,ok
samples,256,1,FIGS,256,70,60,10,100,,0.10394278191961348,0.10394278191961348,ok
samples,256,1,HSTree,256,70,60,10,100,,0.00731683406047523,0.00731683406047523,ok
samples,256,1,GreedyRuleList,256,70,60,10,100,,0.005129729164764285,0.005129729164764285,ok
samples,256,2,RFR,256,70,60,10,100,1000,0.004122341051697731,0.004122341051697731,ok
samples,256,2,GPR,256,70,60,10,100,,0.4657118010800332,0.6791010410524905,ok
samples,256,2,FIGS,256,70,60,10,100,,0.1201049720402807,0.1201049720402807,ok
samples,256,2,HSTree,256,70,60,10,100,,0.00807855511084199,0.00807855511084199,ok
samples,256,2,GreedyRuleList,256,70,60,10,100,,0.005040080985054374,0.005040080985054374,ok
samples,256,3,RFR,256,70,60,10,100,1000,0.004104790976271033,0.004104790976271033,ok
samples,256,3,GPR,256,70,60,10,100,,0.7259184389840811,0.9395410870201886,ok
samples,256,3,FIGS,256,70,60,10,100,,0.09722126205451787,0.09722126205451787,ok
samples,256,3,HSTree,256,70,60,10,100,,0.007267025066539645,0.007267025066539645,ok
samples,256,3,GreedyRuleList,256,70,60,10,100,,0.004770544124767184,0.004770544124767184,ok
samples,256,4,RFR,256,70,60,10,100,1000,0.0041370210237801075,0.0041370210237801075,ok
samples,256,4,GPR,256,70,60,10,100,,0.6906086259987205,0.9034718030598015,ok
samples,256,4,FIGS,256,70,60,10,100,,0.10075758001767099,0.10075758001767099,ok
samples,256,4,HSTree,256,70,60,10,100,,0.0073443439323455095,0.0073443439323455095,ok
samples,256,4,GreedyRuleList,256,70,60,10,100,,0.0031072029378265142,0.0031072029378265142,ok
samples,512,0,RFR,512,70,60,10,100,1000,0.007287574000656605,0.007287574000656605,ok
samples,512,0,GPR,512,70,60,10,100,,0.4519069050438702,0.6678189460653812,ok
samples,512,0,FIGS,512,70,60,10,100,,0.21553222509101033,0.21553222509101033,ok
samples,512,0,HSTree,512,70,60,10,100,,0.014693357050418854,0.014693357050418854,ok
samples,512,0,GreedyRuleList,512,70,60,10,100,,0.009368338854983449,0.009368338854983449,ok
samples,512,1,RFR,512,70,60,10,100,1000,0.007171115139499307,0.007171115139499307,ok
samples,512,1,GPR,512,70,60,10,100,,0.3481818700674921,0.5603799449745566,ok
samples,512,1,FIGS,512,70,60,10,100,,0.22168511291965842,0.22168511291965842,ok
samples,512,1,HSTree,512,70,60,10,100,,0.014210611814633012,0.014210611814633012,ok
samples,512,1,GreedyRuleList,512,70,60,10,100,,0.009294949937611818,0.009294949937611818,ok
