study,value,repeat,estimator,n_samples,n_original_features,n_numerical_features,n_categorical_features,n_transformed_features,n_candidates,fit_time,fit_wall_time,status
samples,128,0,RFR,128,70,60,10,100,10000,0.04186550000000011,0.04186550000000011,ok
samples,128,0,GPR,128,70,60,10,100,,0.7922675000000083,1.4490936999999917,ok
samples,128,0,FIGS,128,70,60,10,100,,0.043307900000002064,0.043307900000002064,ok
samples,128,0,RuleFit,128,70,60,10,100,,1.2182251000000122,1.2182251000000122,ok
samples,128,0,HSTree,128,70,60,10,100,,0.0057756999999867276,0.0057756999999867276,ok
samples,128,0,GreedyRuleList,128,70,60,10,100,,0.004758700000024874,0.004758700000024874,ok
samples,128,1,RFR,128,70,60,10,100,10000,0.04177620000001525,0.04177620000001525,ok
samples,128,1,GPR,128,70,60,10,100,,0.6694774000000052,1.525711699999988,ok
samples,128,1,FIGS,128,70,60,10,100,,0.08601580000001263,0.08601580000001263,ok
samples,128,1,RuleFit,128,70,60,10,100,,1.5443209000000024,1.5443209000000024,ok
samples,128,1,HSTree,128,70,60,10,100,,0.008168100000006007,0.008168100000006007,ok
samples,128,1,GreedyRuleList,128,70,60,10,100,,0.004984900000010839,0.004984900000010839,ok
samples,128,2,RFR,128,70,60,10,100,10000,0.06923589999999535,0.06923589999999535,ok
samples,128,2,GPR,128,70,60,10,100,,1.1958854000000088,1.9462677000000213,ok
samples,128,2,FIGS,128,70,60,10,100,,0.08523260000001187,0.08523260000001187,ok
samples,128,2,RuleFit,128,70,60,10,100,,1.1755601000000127,1.1755601000000127,ok
samples,128,2,HSTree,128,70,60,10,100,,0.005544400000019323,0.005544400000019323,ok
samples,128,2,GreedyRuleList,128,70,60,10,100,,0.003436800000002904,0.003436800000002904,ok
samples,128,3,RFR,128,70,60,10,100,10000,0.041467799999992394,0.041467799999992394,ok
samples,128,3,GPR,128,70,60,10,100,,0.80515410000001,1.4698664000000008,ok
samples,128,3,FIGS,128,70,60,10,100,,0.0441558999999927,0.0441558999999927,ok
samples,128,3,RuleFit,128,70,60,10,100,,1.1704484000000264,1.1704484000000264,ok
samples,128,3,HSTree,128,70,60,10,100,,0.006822999999997137,0.006822999999997137,ok
samples,128,3,GreedyRuleList,128,70,60,10,100,,0.005843999999996186,0.005843999999996186,ok
samples,128,4,RFR,128,70,60,10,100,10000,0.042469699999998056,0.042469699999998056,ok
samples,128,4,GPR,128,70,60,10,100,,0.7530680999999788,1.4194571999999823,ok
samples,128,4,FIGS,128,70,60,10,100,,0.08718650000000139,0.08718650000000139,ok
samples,128,4,RuleFit,128,70,60,10,100,,1.1701316999999847,1.1701316999999847,ok
samples,128,4,HSTree,128,70,60,10,100,,0.00454670000002011,0.00454670000002011,ok
samples,128,4,GreedyRuleList,128,70,60,10,100,,0.005517499999996289,0.005517499999996289,ok
samples,256,0,RFR,256,70,60,10,100,10000,0.056546699999984185,0.056546699999984185,ok
samples,256,0,GPR,256,70,60,10,100,,0.6578642000000059,1.3249222999999972,ok
samples,256,0,FIGS,256,70,60,10,100,,0.10885989999999879,0.10885989999999879,ok
samples,256,0,RuleFit,256,70,60,10,100,,1.3751255999999898,1.3751255999999898,ok
samples,256,0,HSTree,256,70,60,10,100,,0.014283199999994167,0.014283199999994167,ok
samples,256,0,GreedyRuleList,256,70,60,10,100,,0.009194600000000719,0.009194600000000719,ok
samples,256,1,RFR,256,70,60,10,100,10000,0.05836469999999849,0.05836469999999849,ok
samples,256,1,GPR,256,70,60,10,100,,1.0314432000000124,1.711507900000015,ok
samples,256,1,FIGS,256,70,60,10,100,,0.14387849999999958,0.14387849999999958,ok
samples,256,1,RuleFit,256,70,60,10,100,,1.3849095000000204,1.3849095000000204,ok
samples,256,1,HSTree,256,70,60,10,100,,0.011502800000016578,0.011502800000016578,ok
samples,256,1,GreedyRuleList,256,70,60,10,100,,0.008551100000005363,0.008551100000005363,ok
samples,256,2,RFR,256,70,60,10,100,10000,0.0589960000000076,0.0589960000000076,ok
samples,256,2,GPR,256,70,60,10,100,,0.7411900000000173,1.3805671000000075,ok
samples,256,2,FIGS,256,70,60,10,100,,0.16061070000000655,0.16061070000000655,ok
samples,256,2,RuleFit,256,70,60,10,100,,1.3224256999999966,1.3224256999999966,ok
samples,256,2,HSTree,256,70,60,10,100,,0.012574599999993552,0.012574599999993552,ok
samples,256,2,GreedyRuleList,256,70,60,10,100,,0.008804099999991877,0.008804099999991877,ok
samples,256,3,RFR,256,70,60,10,100,10000,0.058287099999972725,0.058287099999972725,ok
samples,256,3,GPR,256,70,60,10,100,,1.1288562000000013,1.8267854000000057,ok
samples,256,3,FIGS,256,70,60,10,100,,0.1331130000000087,0.1331130000000087,ok
samples,256,3,RuleFit,256,70,60,10,100,,1.413953399999997,1.413953399999997,ok
samples,256,3,HSTree,256,70,60,10,100,,0.010204500000014605,0.010204500000014605,ok
samples,256,3,GreedyRuleList,256,70,60,10,100,,0.006401199999999108,0.006401199999999108,ok
samples,256,4,RFR,256,70,60,10,100,10000,0.05592580000001135,0.05592580000001135,ok
samples,256,4,GPR,256,70,60,10,100,,1.0746437999999898,1.7463537000000144,ok
samples,256,4,FIGS,256,70,60,10,100,,0.13468009999999708,0.13468009999999708,ok
samples,256,4,RuleFit,256,70,60,10,100,,1.360069799999991,1.360069799999991,ok
samples,256,4,HSTree,256,70,60,10,100,,0.011527999999998428,0.011527999999998428,ok
samples,256,4,GreedyRuleList,256,70,60,10,100,,0.005035700000007637,0.005035700000007637,ok
samples,512,0,RFR,512,70,60,10,100,10000,0.09722479999999223,0.09722479999999223,ok
samples,512,0,GPR,512,70,60,10,100,,1.2618454999999926,2.1138574000000006,ok
samples,512,0,FIGS,512,70,60,10,100,,0.29423810000000117,0.29423810000000117,ok
